# 《射雕英雄传》第一回 风雪惊变 事件列表

## 详细版事件列表
1. 牛家村酒馆中，郭啸天、杨铁心与说书人张十五谈论金兵入侵威胁、岳飞被害真相及高宗皇帝责任
2. 张十五离开后，郭杨二人议论曲三及其女儿的神秘身份
3. 张十五在村外继续讲述韩侂胄奸臣误国、中原百姓苦难
4. 郭啸天与杨铁心夜猎时遇见曲三与三名武官打斗
5. 曲三展示高超武功击杀武官，并识破郭杨二人的武艺
6. 曲三向郭啸天、杨铁心透露自己曾是高手，并赠送皇宫盗来的金器
7. 郭杨二人掩埋尸体后严守秘密
8. 冬夜雪天，杨铁心欲请郭啸天夫妇饮酒，发现酒店关门
9. 杨铁心夫妇宴请郭啸天，两人谈论韩侂胄等奸臣恶行
10. 风雪中偶遇丘处机，杨铁心因误会与其发生冲突
11. 丘处机展示人头和心肝，杨铁心持匕首攻击反被夺走
12. 杨铁心使杨家枪法（含"毒龙出洞""回马枪"等招式）与丘处机打斗
13. 丘处机认出杨家枪法并询问杨铁心身世
14. 郭啸天、杨铁心与丘处机释兵言欢并邀其饮酒
15. 丘处机自报家门后，两人拜服
16. 丘处机讲述诛杀汉奸王道乾经过，并指点杨家枪法
17. 官府追兵至，丘处机展绝妙武功杀敌
18. 丘处机斩杀剩余敌人，郭杨二人发现敌人中有金兵及官府密令
19. 三人掩埋尸体，包惜弱被诊断怀孕
20. 丘处机为未出世孩子取名郭靖和杨康，并赠短剑
21. 丘处机约定十年后传授武艺，郭杨二人约定子女结为兄弟/姊妹/夫妻
22. 郭杨二人交换短剑作为定亲信物
23. 包惜弱在雪夜发现受伤的官兵，于心不忍将其救回
24. 包惜弱为受伤官兵疗伤，发现对方是俊美的青年男子（颜烈/完颜洪烈）
25. 颜烈伤愈后离开，包惜弱对此事守口如瓶
26. 包惜弱将曲三的小女儿带到红梅村娘家照顾
27. 数月后，包惜弱怀孕待产，杨家生活渐趋平静
28. 深夜，官兵突然包围牛家村，捉拿郭啸天、杨铁心
29. 郭杨二人被迫反抗，杨铁心夺马欲带妻子突围
30. 郭杨二人与官兵激战，坐骑中箭，李萍与包惜弱落马
31. 郭啸天建议投降以求分辩，兄弟二人放下兵器
32. 官兵背信弃义，段天德虐待杨铁心并侮辱包惜弱
33. 郭啸天为救义弟被段天德砍断右膀，重伤不治
34. 杨铁心激愤之下挣断绳索，展开杨家枪法反击
35. 杨铁心杀死数名官兵后，寻找妻子与郭大嫂
36. 杨铁心救回包惜弱，得知李萍被官兵捉去
37. 杨铁心决意先救李萍，与包惜弱忍痛分别
38. 杨铁心救回李萍，发现包惜弱再次被官兵掳去
39. 杨铁心追击时遇到金国武士，怀疑对方身份
40. 杨铁心被冷箭射中后心，昏倒在马背上
41. 包惜弱被官兵带走，途中遭遇黑衣人袭击
42. 包惜弱坐骑受惊北逃，被颜烈（完颜洪烈）追上救下
43. 颜烈将包惜弱安置在农家，谎称是其丈夫以掩人耳目
44. 包惜弱醒来后询问丈夫下落，颜烈谎称杨铁心已死
45. 包惜弱悲痛欲绝，欲绝食殉夫，被颜烈劝阻
46. 颜烈表明会为包惜弱报仇，并解释自己是路过相救
47. 包惜弱随颜烈离开，前往北方躲避官兵追捕
48. 颜烈对包惜弱照顾周到，二人一路同行至嘉兴
49. 颜烈为包惜弱购买新衣物，包惜弱内心矛盾
50. 到达嘉兴秀水客栈，包惜弱对未来充满迷茫

## 简化版事件列表
1. 郭啸天、杨铁心在牛家村与说书人张十五谈论国事，感慨山河破碎
2. 曲三夜斗武官，展示神秘武功，与郭杨二人结下渊源
3. 丘处机出现，与郭杨二人不打不相识，讲述诛杀汉奸经过
4. 丘处机为未出世的孩子取名郭靖、杨康，赠短剑为信物，约定十年后相见
5. 包惜弱雪夜救下重伤的颜烈（实为金国六王子完颜洪烈）
6. 官兵突然包围牛家村，郭啸天被害，杨铁心失踪，李萍与包惜弱被分开
7. 完颜洪烈设计救下包惜弱，谎称杨铁心已死，带她北上
8. 包惜弱在悲痛与迷茫中随完颜洪烈离开，踏上未知之路

## 极简版事件列表
1. 郭啸天、杨铁心与丘处机结识，定下子女婚约，丘处机取名郭靖、杨康
2. 金兵入侵背景下，郭杨两家遭官兵迫害，郭啸天被杀，杨铁心失踪
3. 包惜弱被完颜洪烈欺骗带走，李萍失踪，故事埋下复仇与成长的伏笔
