# 第144回 龙云凤剑斩昆仑僧 夏遂良怒杀龙云凤

## 详细版事件列表（20条）
1. 昆仑僧率小老道追踪徐良至武万丰家，包围小院
2. 武万丰认出昆仑僧，试图劝说其放徐良等人离开被拒绝
3. 武万丰怒战昆仑僧，不到二十回合被昆仑僧用大铲拍死
4. 武万丰孙子武国南、武国北为爷爷报仇，武国南被昆仑僧打死
5. 徐良用石子攻击昆仑僧，方宽方宝救回武国北
6. 徐良、房书安等四人合力战昆仑僧，因徐良肩伤处于下风
7. 飞天魔女龙云凤突然出现在武家门楼上，众人停下打斗
8. 龙云凤飘身落地，与昆仑僧理论，昆仑僧突然发难
9. 龙云凤用闭月羞光扫魔剑击败昆仑僧，昆仑僧欲逃
10. 徐良发镖击中昆仑僧后脑勺，龙云凤手起剑落斩下其首级
11. 房书安割下昆仑僧僧袍包裹首级，挂在腰间准备带回马家店
12. 龙云凤提议带徐良等人立即去破金灯阵救夏侯仁
13. 房书安以众人劳累为由，劝说龙云凤让徐良等人先回马家店
14. 龙云凤决定带房书安直接去破阵，徐良无奈答应
15. 二人在山口遇到古月和尚带领的二三十人阻挡
16. 龙云凤生擒古月，并废去其双臂，防止其逃跑
17. 夏遂良率江洪烈、方天化、詹明奇在五行昆仑绝命台前设伏
18. 龙云凤与夏遂良激战七八十回合后负伤，被江洪烈一掌打死
19. 房书安杀死古月后逃跑，被方天化追击
20. 房书安被南海派五位高人（尚怀山、陆天林等）救下，众人返回马家店

## 简化版事件列表（5条）
1. 昆仑僧追击徐良至武万丰家，武万丰祖孙三人先后战死，徐良等人遇险
2. 飞天魔女龙云凤出现，斩杀昆仑僧，提议与房书安一同去破金灯阵
3. 龙云凤和房书安在路上生擒古月并废其双臂，继续前往金灯阵
4. 夏遂良设伏，龙云凤与夏遂良激战不敌，被江洪烈打死，房书安机智逃脱
5. 房书安被南海派高人救下，众人返回马家店，徐良得知破阵需要陆小英帮助

## 极简版事件列表（3条）
1. 昆仑僧追击徐良至武家，杀死武万丰祖孙，龙云凤出现斩杀昆仑僧
2. 龙云凤与房书安前往破阵，生擒古月后遭夏遂良伏击，龙云凤战死
3. 房书安被南海派高人救下，众人返回马家店，为救夏侯仁需求助陆小英

## 绘图提示词
1. **武家小院激战**：深夜山村小院，昆仑僧手持大铲疯狂攻击，武万丰祖孙三人浴血奋战，徐良带伤参战，房书安和方宽方宝在旁助阵，月光下刀光剑影，气氛紧张惨烈。
2. **龙云凤斩昆仑僧**：白发魔女站在门楼上狂笑，飘身落地后挥扫魔剑，昆仑僧狼狈逃窜，徐良发镖击中其后脑勺，龙云凤手起剑落斩下首级，房书安割袍包裹人头。
3. **金灯阵伏击战**：五行昆仑绝命台前，夏遂良、江洪烈等高手设伏，龙云凤与夏遂良激战，剑与三尖匕首钺相撞火花四溅，古月被绑在一旁，房书安伺机而动。
4. **龙云凤战死**：龙云凤腿部受伤跌倒，扫魔剑脱手，江洪烈飞身而至，一掌击中其头顶，血溅当场，夏遂良站在一旁冷目而视，房书安刺死古月后撒腿逃跑。
5. **南海派相救**：树林中，方天化追击房书安，南海派五位高人（尚怀山、陆天林、陆小英等）突然出现，方天化吓得转身就跑，房书安连蹦带跳扑向众人。
