# 第二十五章 荒村野店 事件列表

## 详细版（15条）
1. 黄药师现身惩戒尹志平，为陆冠英与程瑶迦主持婚事，并提及要寻找江南六怪
2. 周伯通与欧阳锋追逐至附近，黄药师跟去观看三人比赛脚力
3. 郭靖黄蓉在密室中修炼九阴神功时，因陆冠英与程瑶迦的亲热之声险些走火入魔
4. 欧阳克发现密室，与黄蓉交手，陆冠英夫妇加入助战但不敌
5. 欧阳克威胁程瑶迦脱衣，程瑶迦宁死不从欲自刎
6. 穆念慈带着杨铁心夫妇的棺木来到牛家村，与欧阳克相遇
7. 杨康回来，趁欧阳克不备，从桌底用铁枪头刺杀了他
8. 华筝、拖雷等蒙古使者来到，杨康假哭称郭靖已死并嫁祸于宋朝军官
9. 全真七子来到，杨康欺骗他们称郭靖被黄药师所杀
10. 裘千仞造谣称黄药师杀死周伯通，并展示假的“刀剑不入”神功
11. 梅超风追谭处端到牛家村，与全真七子展开天罡北斗阵大战
12. 黄药师与欧阳锋赶回，黄药师与全真七子对阵天罡北斗阵
13. 欧阳锋偷袭谭处端，梅超风舍命相救挡下致命一击
14. 谭处端伤重去世，全真六子带着尸体离去
15. 郭靖七昼夜功行圆满，伤势痊愈，与黄蓉准备离开密室

## 简化版（5条）
1. 黄药师为陆冠英与程瑶迦主持婚礼，周伯通与欧阳锋追逐而过
2. 郭靖黄蓉在密室修炼，欧阳克发现并欲伤害他们，杨康赶来刺杀了欧阳克
3. 蒙古使者华筝、拖雷到来，杨康谎称郭靖已死；全真七子也来到，杨康嫁祸黄药师
4. 梅超风与全真七子以天罡北斗阵交战，黄药师与欧阳锋赶回加入战局
5. 欧阳锋偷袭谭处端致死，梅超风舍命救黄药师，全真六子悲愤离去

## 极简版（2条）
1. 杨康刺杀欧阳克，欺骗蒙古使者和全真七子称郭靖被黄药师所杀
2. 梅超风与全真七子交战，欧阳锋偷袭谭处端致死，梅超风舍命救黄药师
