# 第58回 小五义血战少华山 盲老者谈笑戏群寇

## 详细版（15条）
1. 雷英和房书安被擒，冯魁章下令将二人乱刃分尸
2. 紧急关头，小五义（艾虎、白云生、卢珍、韩天锦）和盲老人乘船赶到救援
3. 艾虎率先跳下船，挥舞龟灵七星宝刀杀入敌阵，众兄弟随后跟上
4. 冯云龙挥舞擂鼓瓮金锤挑战艾虎，两人展开激战
5. 艾虎用智谋击败冯云龙，砍断其锤杆并划伤其头部
6. 冯云虎持八棱亮银锤挑战，粉子都卢珍出战迎敌
7. 卢珍使卧看巧云扫地刀，砍伤冯云虎脚后跟
8. 冯云彪持人面赤铜锤挑战，白云生迎战
9. 白云生先败后胜，趁冯云彪锤砸空时用刀刺中其臀部
10. 冯云汉持镔铁压油锤挑战，韩天锦持大棍迎敌
11. 韩天锦用计使冯云汉分神，砸飞其锤并扫伤其肩膀
12. 冯魁章气得要亲自上阵，被海马追风叟上官清拦住
13. 上官清自恃身份，嘲笑盲老人，出手攻击其面门
14. 盲老人纹丝不动承受上官清的铁砂掌，反而震得对方后退数步
15. 盲老人调侃上官清，准备反击，战斗继续

## 简化版（5条）
1. 雷英和房书安被擒即将被处决，小五义和盲老人及时赶到救援
2. 小五义与冯氏四兄弟展开激战，各显神通
3. 艾虎、卢珍、白云生、韩天锦先后击败冯云龙、冯云虎、冯云彪和冯云汉
4. 海马追风叟上官清不满小五义获胜，亲自出阵挑战盲老人
5. 盲老人展示惊人武功，轻松接下上官清的铁砂掌并加以调侃

## 极简版（3条）
1. 雷英和房书安命悬一线，小五义和盲老人赶到救援
2. 小五义分别击败冯氏四兄弟，大获全胜
3. 盲老人轻松应对上官清的攻击，展示深不可测的武功

## 绘图提示词（中文）
1. 少华山后山水岸边，火光冲天，小五义（艾虎、白云生、卢珍、韩天锦）和盲老人从船上跳下，艾虎挥舞龟灵七星宝刀当先开路，众兄弟紧随其后，房书安和雷英被绑在一旁，冯魁章等人惊讶地看着这一幕。场景要有紧张的战斗氛围，人物动作生动有力。
2. 战场上，艾虎与冯云龙激战正酣，艾虎灵活闪避大锤攻击，同时挥舞宝刀反击；卢珍与冯云虎交手，卢珍使卧看巧云扫地刀；白云生与冯云彪战斗，白云生摔倒在地后反击；韩天锦与冯云汉对峙，韩天锦使大棍硬架大锤。场景要展示四人同时战斗的壮观场面，动作要富有动感。
3. 盲老人与上官清对峙，盲老人翻着白眼，嘴角带着笑意，双手背后，而上官清则惊讶地后退，手掌微微发抖，表情难以置信。背景是战场，但焦点在这两人身上，盲老人的轻松与上官清的震惊形成鲜明对比。
