# 第十六回　观音院僧谋宝贝　黑风山怪窃袈裟

## 详细版事件列表
1. 唐僧师徒行至观音禅院，受到老院主金池长老热情接待，安排斋饭和住宿
2. 老院主炫耀自己收藏的袈裟，悟空不服，取出唐僧的锦襕袈裟，顿时满室生辉，引发众僧贪婪之心
3. 老院主与弟子广智广谋暗中商议，决定纵火焚烧禅房，害死师徒二人，夺取袈裟
4. 悟空变作小蜜蜂儿暗中偷听，发现僧众正在搬柴运草准备放火，心中大怒
5. 悟空一个筋斗云前往南天门，向广目天王借得辟火罩，准备应对火灾
6. 悟空用辟火罩护住唐僧与白马行李所在的禅房，自己则拿着袈裟，静候时机
7. 悟空见僧众放火后，念动咒语助风，使火势更加猛烈，将整个观音院卷入火海
8. 黑风山黑风洞的黑熊精被火光惊醒，好奇前来查看发生了什么事情
9. 黑熊精见袈裟是佛门异宝，顿起贪念，趁火打劫，将锦襕袈裟盗走，返回山洞
10. 观音院被大火彻底烧毁，只剩下一片废墟，众僧在灰烬中翻找幸存的财物
11. 悟空见火势已灭，返回天庭将辟火罩归还给广目天王
12. 悟空唤醒唐僧，告知昨夜发生的事情，包括僧人纵火和袈裟被盗
13. 师徒二人前往方丈寻找袈裟，发现方丈已被大火烧毁，一片狼藉
14. 众僧认出唐僧是神僧，悟空是护法，纷纷跪倒求饶，诉说老院主的阴谋
15. 老院主因丢失袈裟和烧毁寺庙，无颜面对佛祖，撞墙而死，结束了自己罪恶的一生
16. 悟空大怒，搜遍整个寺庙和所有僧人，却未能找到袈裟的下落
17. 悟空询问院主附近是否有妖怪出没，得知黑风山有一个黑熊精在此为害
18. 悟空根据现场情况推测，袈裟很可能是被黑熊精趁火偷走了
19. 唐僧担心悟空离开后自己无人保护，悟空安抚师父，表示很快就会回来
20. 悟空命令众僧好好照顾唐僧和白马，随后腾云驾雾前往黑风山寻找袈裟

## 简化版事件列表
1. 唐僧师徒投宿观音禅院，悟空展示锦襕袈裟，引发老和尚贪婪之心
2. 老院主金池长老设计纵火，欲烧死师徒二人，抢夺袈裟
3. 悟空借来辟火罩保护唐僧，自己却故意助风扩大火势
4. 黑风山黑熊精趁火打劫，偷偷将锦襕袈裟盗走
5. 老和尚因丢失袈裟羞愧撞墙而死，悟空前往黑风山寻袈裟

## 极简版事件列表
1. 观音禅院僧人贪念袈裟，设计放火害师徒
2. 黑熊精趁火打劫，盗走唐僧锦襕袈裟

## 绘图提示词
场景：黑熊精趁火盗袈裟
描述：深夜时分，观音禅院陷入一片火海，通红的火光映亮夜空，寺庙的屋檐和殿堂正在燃烧坍塌。画面中心是一只体型庞大的黑熊精，半人半熊形态，身穿黑色斗篷，面目狰狞而贪婪。它正从方丈室中抓起一件金光四射的锦襕袈裟，袈裟上精美的祥云和佛教图案在火光中熠熠生辉。黑熊精的眼睛闪烁着贪婪的光芒，嘴角露出得意的笑容，一只手抓住袈裟，另一只手已化作利爪，准备腾云驾雾逃离现场。背景中可以看到寺庙的火势凶猛，木梁正在断裂坠落，一些和尚在远处惊慌失措地奔跑。画面左侧隐约可见被辟火罩保护的唐僧房间，与周围的火海形成鲜明对比。整个场景氛围紧张刺激，火光与黑暗交织，突显了黑熊精趁火打劫的贪婪本质和事件的危急程度。
