【标题】
第三十九回 是非善恶

【详细事件列表】
1. 郭靖南归途中深思人生意义，质疑武学价值，对报仇、善恶、是非产生困惑
2. 郭靖在山东小镇遭误认为蒙古人而被百姓围殴，丘处机出现解围
3. 丘处机劝导郭靖武学本身无善恶，关键在于使用者之心，但郭靖仍心灰意冷
4. 丘处机提及华山二次论剑将至，暗示周伯通可教郭靖忘却武功，郭靖同意前往
5. 郭靖与丘处机上华山途中，丘处机与沙通天等人恶斗，郭靖因不愿动武而避开
6. 郭靖遇参仙老怪梁子翁偷袭，被迫反击将其推下万丈深谷
7. 郭靖见欧阳锋在华山练功，本可报仇却因内心矛盾而犹豫
8. 郭靖听到欧阳锋与黄蓉对话，确认黄蓉未死，惊喜交集
9. 欧阳锋强逼黄蓉翻译《九阴真经》，黄蓉假意推脱
10. 郭靖冲入山洞救黄蓉，欧阳锋因有约在先羞愧而逃
11. 黄蓉对郭靖背弃之情感到愤怒，郭靖以死明志方得原谅
12. 周伯通出现，误打郭靖讨好黄蓉，后制服沙通天等四人
13. 黄蓉设计整治彭连虎等人，命丘处机押往重阳宫幽禁二十年
14. 裘千仞追杀周伯通至华山，瑛姑随后赶到寻仇
15. 裘千仞被众人围攻，以"谁没杀过人"反诘众人，使其哑口无言
16. 洪七公及时出现，痛斥裘千仞卖国行径，裘千仞羞愧欲自尽
17. 一灯大师救下裘千仞，点化其回头是岸，瑛姑欲报仇被周伯通阻止
18. 一灯大师携裘千仞下山化解二十年恩怨，洪七公与郭靖黄蓉相会
19. 郭靖通过洪七公言行领悟武学真谛：为善则正，为恶则邪
20. 洪七公与黄蓉谈论明日论剑，黄蓉暗示希望父亲黄药师获胜

【简要事件列表】
1. 郭靖南归途中深思人生意义，对武学价值产生质疑
2. 丘处机劝导郭靖武学无善恶，关键在使用者之心
3. 郭靖遇梁子翁偷袭反击将其推下深谷
4. 郭靖发现黄蓉未死，两人重逢但黄蓉愤怒不谅
5. 郭靖以死明志终得黄蓉原谅，两人言归于好
6. 周伯通制服沙通天等人，黄蓉设计整治
7. 裘千仞、瑛姑现身华山，裘千仞被众人围攻羞愧欲自尽
8. 洪七公痛斥裘千仞卖国行径，一灯大师点化其回头是岸
9. 郭靖领悟武学真谛：为善则正，为恶则邪
10. 众人齐聚华山，准备明日二次论剑

【极简事件列表】
1. 郭靖质疑武学价值，深思人生意义
2. 郭靖发现黄蓉未死，两人重逢言归于好
3. 裘千仞现身华山被围攻，羞愧欲自尽
4. 一灯大师点化裘千仞回头是岸
5. 郭靖领悟武学真谛，众人齐聚准备论剑
