《水浒传》第八回"林教头刺配沧州道 鲁智深大闹野猪林"事件列表

【详细版·20条】
1. 高太尉喝令军校拿下林冲要斩，诬告林冲持刀闯入节堂欲杀本官
2. 林冲辩称是承局骗来比刀，太尉下令解往开封府处决
3. 滕府尹审案，林冲诉说高衙内调戏妻子、陆谦设计陷害经过
4. 当案孔目孙定为人正直，向府尹说明林冲冤情
5. 孙定建议林冲招认"腰悬利刃误入节堂"，判脊杖二十刺配沧州
6. 府尹向高俅禀报，高俅理亏只得准了判决
7. 林冲在州桥酒店与众邻舍、丈人张教头告别
8. 林冲为不连累妻子，执意要写休书任其改嫁
9. 林冲娘子赶到酒店哭求，哭倒在地被救醒
10. 张教头承诺照顾女儿，等林冲回来完聚
11. 陆谦用十两金子收买防送公人董超、薛霸
12. 陆谦要求在途中结果林冲，带回金印为证
13. 薛霸贪财同意，董超犹豫也被说服
14. 林冲棒疮发作，行走困难，董超薛霸一路虐待
15. 薛霸用滚水烫伤林冲双脚，使其无法行走
16. 薛霸逼林冲穿新草鞋，脚上血泡被磨破
17. 三人来到野猪林，董超薛霸要绑林冲防其逃跑
18. 林冲被绑在树上，董超薛霸说明要杀他的原因
19. 林冲求饶，董超薛霸举起水火棍要结果林冲
20. 薛霸举棍向林冲脑袋劈来，林冲性命危急

【简要版·6条】
1. 林冲被诬告持刀闯节堂，判刺配沧州
2. 林冲为不连累妻子，写休书任其改嫁
3. 陆谦收买董超薛霸，途中杀害林冲
4. 董超薛霸一路虐待林冲，用滚水烫脚
5. 三人到野猪林，将林冲绑在树上
6. 薛霸举棍要杀林冲，危急时刻鲁智深出现

【极简版·4条】
1. 林冲被陷害刺配沧州，与妻子写休书告别
2. 陆谦收买公人途中杀害林冲
3. 董超薛霸虐待林冲，在野猪林将其绑在树上
4. 正要杀林冲时，鲁智深及时出现相救
