##标题：黄风岭唐僧有难 半山中八戒争先
##详细版：
1. 师徒三人餐风宿水，带月披星，行至夏景炎天，忽见山路旁有村舍
2. 唐僧提议借宿，八戒表示饥饿想化斋，被悟空戏称为恋家鬼，八戒慌忙辩解并发誓西行不退悔
3. 师徒来到老者门前借宿，老者热情接待并准备饭菜，八戒食量大增，几乎吃光老者家饭食
4. 次日清晨，老者送师徒上路，并提醒前路可能有危险，悟空自信回应不会回头
5. 师徒前行不久，遇到一座险峻高山，唐僧心有不安，忽见一阵旋风大作
6. 旋风中跳出黄风怪部下的虎先锋，悟空八戒与虎先锋展开战斗
7. 虎先锋使金蝉脱壳计，脱下虎皮掩饰，自己化作狂风将唐僧掳走
8. 悟空八戒发现中计后，在山中寻找师父，终于找到黄风岭黄风洞
9. 悟空站在洞口叫阵，要求黄风怪交出师父，洞内小妖慌忙禀报黄风怪
##简化版：
1. 师徒三人借宿老者家，八戒因食量大几乎吃光老者家饭食
2. 次日上路，师徒遇到险峻高山，唐僧心中不安
3. 黄风怪部下虎先锋化作旋风出现，与悟空八戒交战
4. 虎先锋用金蝉脱壳计掳走唐僧，悟空八戒发现后四处寻找
5. 悟空八戒找到黄风洞，悟空在洞口叫阵，要求黄风怪交出师父
##极简版：
1. 师徒借宿老者家，八戒贪吃
2. 路遇高山，虎先锋出现
3. 虎先锋使计掳走唐僧，悟空八戒寻至黄风洞
##绘图提示词：
黄风岭险峻山景，山脚下矗立着一座幽暗洞穴，洞口刻有"黄风岭黄风洞"六个大字。洞前站着一位身穿直裰、手持金箍棒的毛脸雷公嘴和尚（孙悟空），正在厉声叫阵。旁边有一位扛着九齿钉耙、体型肥胖的和尚（猪八戒）。远处山路上可见被狂风卷起的尘埃，暗示唐僧被掳走的方向。画面氛围紧张，充满战斗即将爆发的气息。
