# 西游记第58章

## 标题：二心搅乱大乾坤　一体难修真寂灭

## 详细版事件列表（15条）
1. 孙悟空与沙僧从南海出发前往花果山，准备辨认假悟空
2. 二人到达花果山，发现假悟空正在与群猴饮酒作乐，模样与真悟空一模一样
3. 真假悟空开始争斗，沙僧无法分辨，便回洞寻找行李未果
4. 真假悟空一路打斗到南海，求观音菩萨辨认
5. 观音菩萨念紧箍咒试验，二人同时喊疼，无法分辨
6. 真假悟空又打到天宫，请求玉帝用照妖镜辨认
7. 照妖镜中两个悟空影子完全相同，玉帝也无法分辨
8. 二人回到唐僧处，唐僧念紧箍咒试验，同样无法分辨
9. 真假悟空又打到幽冥地府，请求阴君查看生死簿
10. 阴君无法从生死簿中找到假悟空的名字
11. 地藏王菩萨让谛听兽分辨，谛听虽然知晓真相但不敢明说
12. 谛听建议到雷音寺如来佛祖处辨认
13. 真假悟空来到雷音寺，如来佛祖指出假悟空是六耳猕猴
14. 六耳猕猴见身份暴露，想要逃跑，被如来用金钵盂罩住
15. 孙悟空打死六耳猕猴，师徒重归于好，继续西行

## 简化版事件列表（5条）
1. 真假悟空从花果山一路打到南海，观音菩萨无法分辨
2. 二人打到天宫，玉帝用照妖镜也无法分辨真假
3. 回到唐僧处，唐僧念紧箍咒同样无法分辨
4. 打到幽冥地府，地藏王让谛听分辨，谛听知晓但不敢明说
5. 最后到雷音寺，如来佛祖指出假悟空是六耳猕猴，悟空将其打死

## 极简版事件列表（2条）
1. 真假悟空四处求辨，观音、玉帝、唐僧、地藏王均无法分辨
2. 如来佛祖指出假悟空是六耳猕猴，悟空将其打死，师徒重归于好

## 绘图提示词
场景：如来佛祖辨真假美猴王
- 场景设置：雷音寺内，七宝莲台高耸，佛光普照，祥云缭绕，众佛菩萨、金刚罗汉分列两旁
- 人物1（如来佛祖）：端坐在七宝莲台中央，面容慈悲，右手持金钵盂，左手结法印，正在讲述六耳猕猴的来历
- 人物2（真悟空）：站在左侧，火眼金睛，表情愤怒但有期待，手持金箍棒，头戴紧箍
- 人物3（六耳猕猴）：站在右侧，与真悟空一模一样，但眼神中透露着慌张，正准备转身逃离
- 人物4（观音菩萨）：站在如来右侧，双手合十，面带微笑，正关注事态发展
- 背景细节：雷音寺金碧辉煌，梁柱上雕刻着飞天、祥云图案；地面铺有金砖，反射着佛光；远处可见灵鹫山景色
- 氛围：庄严肃穆，佛法无边，真相即将大白
- 光线：佛光从上方照射下来，重点照亮如来和两个悟空
