## 《红楼梦》第072回 王熙凤恃强羞说病 来旺妇倚势霸成亲

### 详细版事件列表（15条）
1. 鸳鸯撞见司棋与姑舅兄弟幽会后，司棋因表弟逃走而大病，鸳鸯前来安慰并发誓保密
2. 鸳鸯探望生病的凤姐，平儿告知凤姐已患血崩之症一个月，但凤姐不肯请医吃药
3. 贾琏求鸳鸯帮忙偷运贾母查不着的金银器典当，称需三千两银子应急
4. 凤姐虽与贾琏争吵，但暗示想要一二百两好处费才肯帮忙说合
5. 来旺家的求凤姐说媒，要娶王夫人房中即将放出的彩霞为媳
6. 贾琏本想帮忙，后听林之孝说旺儿之子不成器，便犹豫反悔
7. 凤姐已说服彩霞之母，得知贾琏反悔后坚持要促成此事
8. 夏太府小太监来借银二百两，凤姐抵押两个金项圈得四百两，一半借与小太监
9. 贾琏抱怨宫中太监频繁来借银，说周太监曾张口要一千两
10. 林之孝告诉贾琏贾雨村降职，建议疏远以避祸
11. 林之孝提出裁员节流建议，称家道艰难需减少人口和开支
12. 彩霞不愿嫁给旺儿之子，因早闻他酗酒赌博且丑陋无能
13. 彩霞求赵姨娘帮忙，希望能嫁给贾环
14. 赵姨娘向来与彩霞契合，巴不得与了贾环做膀臂
15. 赵姨娘求贾政把彩霞给贾环，贾政称已看中两个丫头分别给宝玉和贾环

### 简化版事件列表（5条）
1. 鸳鸯安慰生病的司棋，发誓不将幽会之事外传
2. 贾琏求鸳鸯帮忙偷运贾母金银器典当，以解财政之急
3. 凤姐患有血崩之症，强撑不肯医治
4. 来旺家倚势要强娶彩霞，凤姐已说服彩霞之母
5. 夏太府小太监来借银，凤姐抵押金项圈筹钱

### 极简版事件列表（3条）
1. 贾琏求鸳鸯借当
2. 王熙凤病况沉重
3. 来旺强娶彩霞
