# 第95章 假合真形擒玉兔　真阴归正会灵元

## 详细版事件列表
1. 唐僧随国王至后宫，悟空暗中观察发现公主头顶有妖氛
2. 悟空告知唐僧公主是假的，唐僧怕惊动国王要求后再行动
3. 悟空性急现本相，揪住假公主并揭露其妖怪身份
4. 假公主挣脱，解衣丢钗，取出捣药杵与悟空打斗
5. 二人从御花园打到空中，大战半日不分胜负
6. 悟空使铁棒变多围攻，假公主化作清风逃往天门方向
7. 悟空追赶至西天门，吆喝天神拦住，与假公主再战
8. 假公主不敌，化作金光逃往正南方毛颖山
9. 悟空担心师父安全，返回天竺国向国王说明情况
10. 悟空前往毛颖山寻找，唤出土地山神询问
11. 在山顶石穴中找到假公主，正欲打杀时太阴星君出现
12. 太阴星君说明假公主是广寒宫玉兔，因与素娥仙子有旧仇而下界
13. 悟空请太阴星君带玉兔回天竺国作证，国王后妃方信
14. 八戒见嫦娥动了欲心，被悟空制止
15. 悟空告知国王真公主在给孤布金寺装风
16. 次日国王带唐僧师徒及后妃前往布金寺接回真公主
17. 悟空建议国王用雄鸡除掉百脚山蜈蚣精，并改山名为宝华山
18. 国王重赏寺僧，封老僧为报国僧官
19. 国王欲留唐僧师徒，唐僧执意西行，国王差官远送
20. 悟空使法术让送行者迷失方向，师徒趁机脱身继续西行

## 简化版事件列表
1. 悟空在宫中识破假公主是广寒宫玉兔精，与其打斗
2. 玉兔精不敌逃往毛颖山，悟空追赶
3. 太阴星君出现，说明玉兔因与素娥仙子旧仇下界，将其收回
4. 悟空带国王前往给孤布金寺接回被玉兔摄走的真公主
5. 国王改百脚山为宝华山，重赏寺僧，师徒继续西行

## 极简版事件列表
1. 悟空识破并降伏假公主玉兔精
2. 国王接回真公主，师徒继续西行

## 绘图提示词（场景：悟空与玉兔精空中大战）
画面中展现一个壮观的空中战场，孙悟空高举金箍棒，身穿锁子黄金甲，头戴凤翅紫金冠，脚踩藕丝步云履，火眼金睛怒视对手。对面是化作人形的玉兔精，手持捣药杵，身着华丽宫装，头顶隐约露出玉兔特征。二人周围云雾缭绕，金光四射。下方可见天竺国都城和御花园，地面上国王、唐僧和众臣正在仰头观望。整个画面动感十足，充满神话色彩，体现出激烈的战斗氛围和奇幻的仙境场景。
