#第八十四回《子牙兵取临潼关》主要事件列表（详细版）          

## 完整版事件列表
1. 老子、元始天尊、接引道人、准提道人四圣破万仙阵，通天教主被击败
2. 金灵圣母被三大士围攻，后被燃灯道人用定海珠打死
3. 长耳定光仙背叛通天教主，带着六魂幡投靠阐教
4. 准提道人用七宝妙树打断通天教主的剑，通天教主败走
5. 鸿钧道人降临，批评通天教主，调停三教矛盾，让三教主服下丹药约束
6. 老子、元始天尊等众仙回山，陆压将飞刀送给姜子牙
7. 申公豹试图逃窜，被元始天尊命黄巾力士拿住，塞了北海眼
8. 姜子牙领众将进军临潼关，黄飞虎阵前斩杀卞金龙
9. 卞金龙之子卞吉为父报仇，设下幽魂白骨幡
10. 南宫适追击卞吉至幡下被擒，黄飞虎、黄明也先后被擒
11. 雷震子试图打碎妖幡，也被妖气迷倒擒获
12. 哪吒用乾坤圈打伤卞吉，李靖刺死桂天禄
13. 周将们围攻欧阳淳，使其陷入困境

## 简化版事件列表
1. 四圣破万仙阵，通天教主败走，金灵圣母被杀
2. 长耳定光仙背叛，鸿钧道人调停三教矛盾
3. 申公豹被擒，塞了北海眼
4. 姜子牙进军临潼关，黄飞虎斩杀卞金龙
5. 卞吉设幽魂白骨幡，连擒南宫适、黄飞虎等三将
6. 雷震子欲毁幡被擒，哪吒打伤卞吉
7. 李靖刺死桂天禄，周将围攻欧阳淳

## 极简版事件列表
1. 四圣破万仙阵，鸿钧调停矛盾
2. 申公豹被塞北海眼
3. 子牙兵取临潼关，黄飞虎斩卞金龙
4. 卞吉设幡擒周将，哪吒伤卞吉
        
