### 射雕英雄传第9章详细事件列表
1. 郭靖黄蓉潜入赵王府后院，发现穆易父女被囚于铁牢
2. 二人目睹完颜康欺骗穆念慈并囚禁其父女，见完颜康为讨好母亲折断兔子腿
3. 黄蓉胁迫简管家骗取完颜康取药字条，三人前往梁子翁处取药
4. 香雪厅外制服卫士，郭靖黄蓉潜入窥见完颜洪烈与欧阳克等王府高手密谋夺取岳飞兵法遗书
5. 郭靖取药时遭遇朱红奇蛇，危急中咬蛇吸血，反而获得深厚内力
6. 杨铁心与郭靖相认，告知其为郭啸天义弟，比武招亲实为寻郭靖
7. 王妃（包惜弱）命人释放杨铁心父女，杨铁心发现王妃房内农家陈设
8. 黄蓉在香雪厅与王府高手周旋，展示兰花拂穴手等技艺，机智应对侯通海挑战
9. 梁子翁发现宝蛇被杀，追踪郭靖至花园，欲吸血复仇
10. 郭靖与完颜康再次交手，被梁子翁重伤，逃入王妃房中躲避
11. 杨铁心返回感谢王妃，见室内旧物认出包惜弱
12. 包惜弱认出杨铁心，两人相认，倾诉十八年离别之苦
13. 完颜康发现母亲房中有异，强行闯入，包惜弱晕倒
14. 包惜弱醒来后向完颜康揭示其真实身份为杨康，亲生父亲为杨铁心

### 射雕英雄传第9章简化事件列表
1. 郭黄二人潜入赵王府，发现穆易父女被囚，郭靖遭遇朱红奇蛇并意外获得深厚内力
2. 杨铁心与郭靖相认，告知其为郭啸天义弟，比武招亲实为寻郭靖
3. 王妃释放杨铁心父女，杨铁心返回认出王妃即为妻子包惜弱
4. 包惜弱与杨铁心相认，倾诉十八年离别之苦
5. 完颜康发现母亲房中有异，强行闯入
6. 包惜弱向完颜康揭示其真实身份为杨康，亲生父亲为杨铁心
7. 黄蓉在香雪厅与王府高手周旋，机智应对各种挑战

### 射雕英雄传第9章极简事件列表
1. 郭黄潜入赵王府取药，郭靖意外获得朱红奇蛇内力
2. 杨铁心与包惜弱相认，揭开十八年前往事
3. 完颜康真实身份被揭示为杨康，亲生父亲为杨铁心
