# 第二十八回　花果山群妖聚义　黑松林三藏逢魔

## 详细版事件列表（20条）

1. 孙悟空被唐僧逐赶后，思念不已，望着东洋大海感叹已有五百年未走此路
2. 孙悟空跳过东洋大海，回到花果山，发现山上花草俱无，烟霞尽绝，峰岩倒塌，林树焦枯
3. 孙悟空回忆起花果山被二郎神烧毁的往事，倍感凄惨
4. 七八个小猴跳出向孙悟空叩头，哭诉自他被捉后，群猴遭受猎人之苦
5. 群猴告诉孙悟空，原本四万七千群妖，如今只剩千把，大部分被烧死或被猎人捉去
6. 孙悟空询问谁在管理洞府，得知还有马流二元帅和奔芭二将军
7. 马流奔芭迎接孙悟空进洞，询问为何回来，孙悟空诉说被唐僧逐赶的经过
8. 孙悟空询问猎人何时来骚扰，得知他们逐日来缠扰
9. 孙悟空吩咐小猴搬山上碎石头堆起来，准备作法
10. 千余猎人带着鹰犬、刀枪上山，孙悟空作法掀起狂风，用碎石打死众猎人
11. 孙悟空命小猴剥下猎人衣服穿，将尸首推入深潭，马肉腌藏，武器用来操演
12. 孙悟空制作杂彩花旗，上书"重修花果山复整水帘洞齐天大圣"，招魔聚兽，积草屯粮
13. 孙悟空向四海龙王借甘霖仙水，洗青山头，重新种植树木，逍遥自在
14. 唐僧师徒继续西行，过白虎岭后进入黑松林，唐僧担心有妖邪
15. 唐僧饥饿，命八戒去化斋，八戒走了十余里未见人家，在草科中睡下
16. 唐僧等不到八戒，派沙僧寻找，自己独自散步却走错路，看见金光闪烁的宝塔
17. 唐僧走进宝塔所在的碗子山波月洞，撞见黄袍妖怪，吓得转身就跑
18. 妖怪发现唐僧，命小妖将其捉回洞，绑在定魂桩上
19. 沙僧找到正在睡觉的八戒，二人返回松林发现师父失踪，循着金光找到波月洞
20. 八戒和沙僧与黄袍妖怪在云端展开激战，数十回合不分胜负

## 简化版事件列表（5条）

1. 孙悟空被逐回花果山，发现家园荒废，得知群猴被猎人欺辱，作法打死前来骚扰的猎人，重建花果山
2. 唐僧师徒西行进入黑松林，唐僧饥饿命八戒化斋
3. 八戒偷懒睡觉，唐僧独自散步走错路，来到碗子山波月洞
4. 唐僧被黄袍妖怪捉住，绑在洞中定魂桩上
5. 沙僧找到八戒，二人发现师父失踪，找到波月洞与黄袍妖怪交战

## 极简版事件列表（2条）

1. 孙悟空重建花果山，招魔聚兽
2. 唐僧被黄袍妖怪捉拿

## 绘图提示词

一幅奇幻风格的场景：唐僧身着红色袈裟，双手被绳索捆绑在山洞内的石柱（定魂桩）上，表情惊恐；旁边站着青面獠牙、红须赤发的黄袍妖怪，手持钢刀，面目狰狞；洞穴内光线昏暗，石壁上有火把照明，洞门口有几个小妖探头探脑；洞外可见松林和远处的宝塔轮廓。
