# 《射雕英雄传》第八章事件列表

## 详细版（40条）
1. 王处一带郭靖到城外，试探其武功根基
2. 郭靖向王处一说明江南七怪与马钰传授功夫的经过
3. 王处一确认完颜康是丘处机弟子，对其行径不满
4. 王处一与郭靖前往高升客栈看望穆易父女
5. 发现穆易双手受重伤，穆念慈在旁垂泪
6. 王处一留下银子资助穆易治伤
7. 完颜康派亲随邀请王处一和郭靖到王府赴宴
8. 郭靖藏起点心打算留给黄蓉
9. 两人来到赵王府，郭靖发现是完颜洪烈的府邸
10. 完颜康以富贵打扮迎接，但对王处一毫无师叔之礼
11. 王处一见到赵王府中的武林高手：彭连虎、梁子翁、灵智上人等
12. 鬼门龙王沙通天气势汹汹，欲对郭靖不利
13. 欧阳克突然现身，以诡异手法震开王处一与沙通天的对掌
14. 欧阳克自我介绍为西域白驼山少主
15. 王处一问起丘处机下落，完颜康推说师父另有其人
16. 众人入席，王处一提及穆易父女之事
17. 郭靖前往高升客栈请穆易，发现其已被人接走
18. 汤祖德对王处一出言不逊，王处一用筷子夹住其手腕
19. 梁子翁出手帮助汤祖德，导致汤祖德双手受伤
20. 沙通天气愤，欲抓郭靖，王处一出手相救
21. 众人各显神通：侯通海表演"雪里埋人"
22. 沙通天以瓜子在雪堆上嵌成"黄河九曲"四字
23. 彭连虎截下瓜子完成最后半字，展示合作之妙
24. 欧阳克撒二十只筷子，布成整齐梅花形
25. 梁子翁在竖直筷子上打完一路"燕青拳"，展示轻功
26. 灵智上人表演双手煮水，显露深厚内功
27. 王处一突然抓住完颜康作为人质
28. 王处一展示斟酒奇技，震慑众人
29. 王处一提出以完颜康交换郭靖的安全
30. 梁子翁同意交易，王处一释放完颜康
31. 灵智上人违背诺言，突然袭击王处一
32. 王处一中了毒沙掌，带郭靖快速离开赵王府
33. 郭靖背王处一寻找僻静客店
34. 王处一以内功逼毒，三缸清水都变成黑色
35. 王处一开具药方，但全城药铺的主药都被赵王府搜买一空
36. 郭靖接到黄蓉的约会信
37. 王处一提醒郭靖小心黄蓉，暗示其可能不是男子
38. 郭靖赴约湖边，见到女装的黄蓉惊艳无比
39. 黄蓉表明女儿身份，两人在湖中船上互诉衷肠
40. 黄蓉决定与郭靖夜闯赵王府盗取药材

## 简化版（10条）
1. 王处一发现郭靖武功根基不错，了解其与丘处机弟子完颜康的冲突
2. 王处一与郭靖到高升客栈看望受伤的穆易父女
3. 完颜康邀请王处一和郭靖到赵王府赴宴
4. 赵王府聚集多位武林高手：彭连虎、梁子翁、灵智上人、欧阳克等
5. 众高手各显神通，展示独特武功
6. 王处一抓住完颜康作为人质，展示斟酒奇技震慑众人
7. 王处一提出交换条件，安全带郭靖离开
8. 灵智上人突然袭击，王处一中毒沙掌
9. 王处一以内功逼毒，但全城药铺的主药都被赵王府搜买一空
10. 黄蓉约郭靖见面并首次以女装示人，决定夜闯赵王府盗药

## 极简版（3条）
1. 王处一与郭靖赴赵王府之宴，见识众高手武功
2. 王处一中了灵智上人的毒沙掌，急需药物治疗
3. 黄蓉以女装与郭靖相见，决定夜闯王府盗药
