# 第84章 难灭伽持圆大觉　法王成正体天然

## 详细版事件列表
1. 观音菩萨现身警示唐僧师徒，灭法国国王要杀满一万个和尚，已有九千九百九十六个，正差四个
2. 悟空变作扑灯蛾儿飞入灭法国城，探查城内情况
3. 悟空在城内找到凡人衣物和头巾，返回让唐僧、八戒、沙僧换上，装扮成商人模样
4. 师徒四人以马贩子身份进入灭法国城，在赵寡妇店投宿
5. 悟空编造众人身体不适（朱三官儿有寒湿气，沙四官儿有漏肩风，唐大哥要在黑处睡），拒绝在楼上睡
6. 赵寡妇女儿提议让师徒四人睡在父亲遗留的大柜中，悟空表示同意
7. 八戒、沙僧、唐僧依次进入柜中，悟空安排将白马拴在柜旁，然后进入柜子
8. 悟空故意大声说有许多银子，引诱店内伙计生贪念
9. 店内伙计勾结二十多个强盗，明火执杖来打劫马贩子
10. 强盗找不到楼上的师徒，发现天井中的大柜和白马，决定偷马抬柜出城
11. 强盗杀了守门军，打开城门出去，惊动六街三市，巡城总兵和东城兵马司出动追赶
12. 强盗见官军势大，放下大柜和白马各自落草逃走，官军夺得柜子和白马
13. 总兵见白马非凡，骑上白马，将柜子抬到总府封存，等天明启奏国王
14. 唐僧在柜中埋怨悟空，担心被官兵发现是和尚，悟空安抚说自有对策
15. 悟空变作三尖头钻儿钻出柜子，再变作蝼蚁儿，踏云头进入皇宫
16. 悟空使分身法，拔左臂毫毛变作小行者，右臂毫毛变作瞌睡虫
17. 悟空让土地将瞌睡虫散入皇宫内院和各衙门，使所有官员都沉睡不醒
18. 悟空将金箍棒变作千百口剃头刀，自己拿一把，小行者各拿一把
19. 悟空和小行者们给国王、皇后、嫔妃、太监、宫女以及五府六部官员全部剃成光头
20. 悟空收回毫毛和剃头刀，变回蝼蚁钻回柜中，与唐僧等人守困

## 简化版事件列表
1. 观音警示灭法国国王要杀满一万和尚，正差四人
2. 悟空让师徒扮作商人，在赵寡妇店投宿，睡入大柜
3. 店内伙计勾结强盗打劫，将师徒抬走
4. 官兵追赶夺回柜子和白马，抬到总府封存
5. 悟空施法让国王、官员等人都被剃成光头

## 极简版事件列表
1. 师徒遇观音警示灭法国危险
2. 悟空施计让国王官员全部剃头

## 绘图提示词
场景：悟空施法给灭法国君臣剃头
画面中心是变作千万小行者的悟空毫毛，手持剃头刀在皇宫内和各衙门中忙碌。皇宫大殿中，国王和皇后在睡梦中被剃去头发，周围是同样被剃头的嫔妃和官员。画面应有仙术效果，小行者们动作轻盈敏捷，月光透过窗户洒在地面，整个场景既神奇又诙谐。
