【标题】
宴桃园豪杰三结义　斩黄巾英雄首立功

【详细事件列表】
1. 天下大势分久必合、合久必分的道理被阐述
2. 汉朝桓帝、灵帝时期宦官专权，朝政腐败
3. 灵帝时期出现各种不祥之兆：大青蛇现殿、雷雨冰雹、地震海啸、雌鸡化雄等
4. 议郎蔡邕上疏直言灾异原因，被宦官曹节陷害
5. 十常侍专权乱政，张让被灵帝称为"阿父"
6. 巨鹿张角三兄弟遇南华老仙，得《太平要术》天书
7. 张角创立太平道，散施符水治病，自称"大贤良师"
8. 张角建立三十六方组织，准备起义，口号"苍天已死，黄天当立"
9. 弟子唐周告密，张角被迫提前起兵，自称"天公将军"
10. 朝廷派卢植、皇甫嵩、朱儁三路大军讨伐黄巾军
11. 幽州太守刘焉招兵买马抵抗黄巾军
12. 涿县刘备见榜文长叹，结识张飞
13. 刘备、张飞在村店遇到关羽，三人志同道合
14. 三人在桃园结义，立誓"不求同年同月同日生，只愿同年同月同日死"
15. 中山商人张世平、苏双赠送马匹金银，三人打造兵器铠甲
16. 刘备率五百乡勇首战黄巾将程远志，张飞、关羽各斩一将大胜
17. 刘备救援青州，用计谋三路夹攻解青州之围
18. 刘备前往广宗投奔卢植，被派往颍川打探消息
19. 曹操在颍川截杀张梁、张宝败军，斩首万余级
20. 卢植因不贿赂太监左丰被诬告，遭董卓取代押送回京

【简要事件列表】
1. 汉末朝政腐败，十常侍专权，天灾人祸不断
2. 张角创立太平道，发动黄巾起义，天下大乱
3. 刘备在涿县结识关羽、张飞，三人桃园结义
4. 刘备兄弟投军讨伐黄巾军，首战告捷解青州之围
5. 刘备救了董卓反被轻视，张飞愤怒要杀董卓

【极简事件列表】
1. 汉末天下大乱，黄巾起义爆发
2. 刘备、关羽、张飞桃园结义，投军报国
3. 三兄弟初战立功，救董卓反受辱
