### 《西游记》第54-55回事件列表

#### **第54回：法性西来逢女国 心猿定计脱烟花**
1. **师徒进入西梁女国**  
   - 唐僧师徒抵达西梁女国，遭遇全民围观，八戒现丑相吓退妇女。  
   - 女官迎入迎阳驿，驿丞上报女王，女王欲招唐僧为夫，设计留婚。

2. **女王求婚与悟空定计**  
   - 太师、驿丞至驿馆提亲，悟空假意应允，提出“倒换关文后留师父”的计策。  
   - 唐僧惶恐，悟空解释“假亲脱网”之计：假意成亲，换文后施定身法脱身。

3. **女王迎亲与师徒脱身**  
   - 女王摆驾出城，与唐僧同登凤辇，筵宴后倒换关文。  
   - 师徒出城时，悟空施定身法定住众人，三人驾云逃离，女王惊愕。

4. **蝎子精掳走唐僧**  
   - 半途突现旋风，蝎子精摄走唐僧，悟空三人追赶至毒敌山琵琶洞。

---

#### **第55回：色邪淫戏唐三藏 性正修持不坏身**
1. **悟空探洞与初战蝎子精**  
   - 悟空变蜜蜂入洞，见唐僧被捆，现形相救，与蝎子精大战，被“倒马毒”扎伤头皮败退。  
   - 八戒助阵亦被扎伤嘴唇，两人疼痛难忍。

2. **观音指点请昴日星官**  
   - 悟空遇化身提篮老妇的观音，得知蝎子精来历（曾扎伤如来），需请昴日星官降妖。  
   - 悟空赴东天门光明宫，请得星官下界。

3. **昴日星官降妖救师**  
   - 星官现原形（双冠公鸡），两声啼叫震死蝎子精，八戒将其捣成烂酱。  
   - 师徒入洞救出唐僧，焚毁妖洞，遣散被掳女子，继续西行。

---

### **核心冲突与解决**
- **女国考验**：以“婚配”试探唐僧禅心，悟空用智谋化解。  
- **蝎子精劫难**：色邪与毒伤双重威胁，借助观音指引的天敌（昴日星官）降妖。  
- **唐僧坚守**：始终未破色戒与元阳，体现“性正修持不坏身”主题。
