《三国演义》第七回事件列表

袁绍磐河战公孙　孙坚跨江击刘表

【详细事件列表】20条：
1. 孙坚被刘表围困，程普、黄盖、韩当死救得脱，与刘表结怨
2. 袁绍屯兵河内缺粮，逢纪献计夺取冀州
3. 袁绍写信约公孙瓒共攻冀州，又密报韩馥求援
4. 韩馥不听耿武劝阻，请袁绍同治州事
5. 耿武、关纯伏击袁绍，被颜良、文丑斩杀
6. 袁绍入冀州夺韩馥之权，韩馥弃家投张邈
7. 公孙瓒得知被骗，遣弟公孙越见袁绍分地
8. 袁绍派人假扮董卓兵射死公孙越，公孙瓒大怒起兵
9. 两军会于磐河，文丑战败公孙瓒，赵云救主
10. 赵云弃袁绍投公孙瓒，常山真定人，字子龙
11. 袁绍令颜良、文丑、麴义列阵，大败公孙瓒
12. 赵云刺死麴义，救公孙瓒杀出重围
13. 刘备三兄弟助战，杀退袁绍救了公孙瓒
14. 董卓派马日磾、赵岐和解，袁绍与公孙瓒讲和
15. 公孙瓒班师，表荐刘备为平原相，刘备与赵云惜别
16. 袁术恨刘表不借粮，密信孙坚使伐刘表
17. 孙坚不听劝阻，率孙策等渡江击刘表
18. 孙坚用计收黄祖箭矢，大败黄祖于樊城
19. 蔡瑁出战败走，孙坚围攻襄阳
20. 吕公用计诱孙坚入岘山，孙坚中伏被乱箭射死

【简要事件列表】5条：
1. 袁绍用计夺取冀州，韩馥让位后弃家而逃
2. 公孙瓒为弟报仇与袁绍战于磐河，赵云救主投靠
3. 刘备三兄弟助战救公孙瓒，董卓派人调解讲和
4. 袁术挑唆孙坚伐刘表报仇，孙坚渡江连战连胜
5. 吕公用伏兵计诱孙坚入岘山，孙坚中箭身亡

【极简事件列表】3条：
1. 袁绍夺冀州，公孙瓒为弟报仇，赵云救主投靠公孙瓒
2. 刘备助战救公孙瓒，董卓调解讲和，刘备与赵云惜别
3. 孙坚伐刘表报仇，中吕公伏兵计被乱箭射死岘山
