## 红楼梦第111回：鸳鸯女殉主登太虚，狗彘奴欺天招伙盗

### 详细版事件列表（15条）
1. 凤姐因小丫头言语刺激，急火攻心吐血晕倒，平儿将其送回房中
2. 邢夫人怀疑凤姐推病藏躲，众人因凤姐不在，偷闲歇力，场面混乱
3. 鸳鸯哭至昏晕，醒来后决心殉主，回想起大太太的行为，不愿受折磨
4. 鸳鸯在贾母套间内遇见秦可卿幻影，受其指引，悬梁自尽
5. 琥珀等人发现鸳鸯自尽，邢王二夫人赶来，王夫人传鸳鸯嫂子看着入殓
6. 贾政赞鸳鸯有志气，命贾琏买棺盛殓，宝玉宝钗为其施礼
7. 贾政派凤姐惜春看家，众人送贾母灵柩至铁槛寺安灵
8. 周瑞干儿子何三因被贾珍撵出，心怀怨恨，在赌场透露贾府藏有金银
9. 何三与贼人勾结，商议趁贾府人少打劫，计划带周瑞家的一同逃走
10. 包勇被派看园，阻止妙玉入内，后在婆子央求下放行
11. 惜春邀妙玉陪伴下棋，二人对弈至四更
12. 贼人趁夜闯入贾府，上夜人发现后喊叫，惜春妙玉吓得不敢出声
13. 包勇挺身而出，打退贼人，一人与多名盗贼搏斗
14. 贾芸林之孝查点失物，发现贾母房中箱柜被劫，打死一贼竟是周瑞干儿子
15. 凤姐扶病前来，气得要将上夜女人拴交营里审问，众人跪地哀求

### 简化版事件列表（5条）
1. 凤姐因受刺激吐血晕倒，鸳鸯决心殉主，悬梁自尽
2. 贾政赞鸳鸯有志气，命厚葬，宝玉宝钗为其施礼
3. 贾府送殡后家中空虚，周瑞干儿子何三勾结贼人准备打劫
4. 妙玉前来陪伴惜春，二人对弈至四更，贼人闯入贾府
5. 包勇挺身而出打退贼人，发现被打死的是周瑞干儿子，凤姐要严惩上夜人

### 极简版事件列表（3条）
1. 鸳鸯殉主自尽，被厚葬
2. 何三勾结贼人趁虚打劫贾府
3. 包勇挺身而出打退贼人
