# 白眉大侠第126回事件列表

## 详细版事件列表（16条）
1. 徐良等人随金冠道人来到七星楼三楼，但未发现被困的十二位高人
2. 金冠道人破解三楼机关，砍下红孩妖脑袋，触动机关后出现暗门
3. 金冠道人搬动观音像脑袋时，被伪装成韦驮的宫世良用金刚杵暗害而死
4. 陆小英和徐良用暗器杀死宫世良，众人愤怒地将其碎尸
5. 众人在暗室中找到被吊在梁上的十二位被困高人，成功将他们解救
6. 徐良安排人抬走金冠道人遗体，并将众人分为两队攻打三仙观
7. 夏遂良等人正在三仙观设宴庆祝，突然得知七星楼被破，三仙观被包围
8. 夏遂良等人分四路突围：夏遂良(正门)、肖道成李道安(北门)、昆仑僧计成达(东门)、叶秋生(西门)
9. 夏遂良与万年古佛交战，方天化和詹明奇对战王猿，双方展开混战
10. 夏遂良见势不妙，喊"风紧撤"，与方天化、詹明奇向东逃窜
11. 昆仑僧、计成达、叶秋生、肖道成等人见状也纷纷突围逃窜
12. 夏遂良等人逃至白骨峡，遇到夏侯仁和马凤姑的伏兵，方天化和詹明奇被军兵擒获
13. 夏遂良继续南逃至南山口，遇到白一子和尚云凤，肩头受伤后再次逃脱
14. 夏遂良与昆仑僧、计成达、江洪烈、肖道成和李道安等人在逃亡中会合
15. 众人决定经西向北逃至一线天，希望通过森林和山洞暂避
16. 众人到达一线天，被欧阳中惠带领的少林僧人挡住去路，昆仑僧与欧阳中惠交战

## 简化版事件列表（5条）
1. 金冠道人破解七星楼机关找到暗门，却被伪装成韦驮的宫世良暗害，众人成功解救十二位被困高人
2. 夏遂良等人得知七星楼被破、三仙观被围，决定分四路突围
3. 夏遂良与众人交战不利，与方天化、詹明奇向东逃窜
4. 夏遂良在白骨峡和南山口先后遭遇伏兵，负肩伤逃脱，但方天化和詹明奇被擒
5. 夏遂良与其他贼首在逃亡中会合，逃至一线天被欧阳中惠挡住去路

## 极简版事件列表（3条）
1. 众人成功破解七星楼，解救被困高人，但金冠道人牺牲
2. 夏遂良等人分路突围，四处逃窜
3. 夏遂良等逃至一线天被欧阳中惠拦截

## 绘图提示词（4个场景）
1. 七星楼机关破解：金冠道人站在佛台上破解机关，红孩妖脑袋被砍下，周围是紧张的徐良、陆小英等人，楼内机关声响起
2. 金冠道人被害：伪装成韦驮的宫世良突然用金刚杵刺中金冠道人，陆小英和徐良正准备发射暗器，众人惊恐万分
3. 三仙观突围混战：夏遂良挥舞三尖匕首钺与万年古佛交战，周围是厮杀的人群和军兵，火光映红夜空
4. 一线天拦截：欧阳中惠带领少林僧人挡住夏遂良等人去路，昆仑僧挥舞大铲与欧阳中惠交战，周围是窄窄的山口和严阵以待的军兵
