【标题】
驱巨善六破蛮兵 烧藤甲七擒孟获

【详细事件列表】
1. 孔明释放孟获等人，杨锋父子受封赏
2. 孟获奔回银坑洞，聚集宗党千余人商议报仇
3. 带来洞主推荐八纳洞木鹿大王，深通法术
4. 孔明提兵至三江城，蛮兵多习弓弩，箭头有毒
5. 赵云、魏延不能取胜，孔明用土包堆山攻城
6. 蜀兵积土成山，接连城上，一举夺取三江城
7. 祝融夫人出战，飞刀伤张嶷，马忠也被擒
8. 孔明设计擒获祝融夫人，以换回张嶷、马忠
9. 木鹿大王引洞兵带猛兽出战，驱虎豹豺狼毒蛇
10. 赵云、魏延不敌蛮兵猛兽，蜀兵大败而退
11. 孔明用木刻彩画巨兽破蛮兵驱兽法，火烧猛兽
12. 木鹿大王死于乱军，孔明占了银坑洞
13. 带来洞主擒孟获等数百人献与孔明
14. 孔明识破诈降计，六擒孟获仍不杀
15. 孟获投乌戈国，求兀突骨藤甲军相助
16. 兀突骨起三万藤甲军，皆穿藤甲刀箭不入
17. 魏延与藤甲军交战，连败十五阵弃七寨
18. 孔明设计将藤甲军引入盘蛇谷
19. 蛮兵进入谷中，蜀军放火焚烧藤甲军
20. 兀突骨及三万藤甲军皆死于盘蛇谷中

【简要事件列表】
1. 孔明巧取三江城
2. 祝融夫人擒蜀将
3. 木鹿大王驱猛兽
4. 孔明木兽破邪法
5. 六擒孟获不杀
6. 藤甲军入盘蛇谷
7. 火烧藤甲军全歼

【极简事件列表】
1. 攻取三江城
2. 六擒孟获
3. 火烧藤甲军
