【标题】
第二十八回 铁掌峰顶

【详细事件列表】
1. 黄蓉在君山轩辕台上揭露杨康真实身份，夺回打狗棒
2. 黄蓉以洪七公所传武功震慑群丐，简长老认输奉其为帮主
3. 彭长老企图用慑心术控制黄蓉，反被黄蓉以移魂大法反制
4. 黄蓉正式接任丐帮帮主，简梁二长老率人迎接洪七公
5. 黄蓉处罚彭长老，革除其长老之位降为四袋弟子
6. 杨康趁乱与裘千仞逃离君山，黄蓉恨恨不已
7. 郭靖黄蓉离开君山，途中再次遇到裘千仞
8. 黄蓉以打狗棒法戏弄裘千仞，连绊其数跤
9. 裘千仞约郭靖黄蓉七日内在铁掌山下相会
10. 黄蓉根据曲灵风遗画线索，推断《武穆遗书》在铁掌山
11. 郭靖黄蓉寻至铁掌山，从店小二处得知猴爪山即铁掌山
12. 二人夜闯铁掌山，用裘千仞铁掌令牌骗过守山弟子
13. 裘千仞在山中练功，郭靖黄蓉窥探时被杨康穆念慈发现
14. 裘千仞突袭黄蓉，郭靖出手相救但黄蓉仍被重伤
15. 郭靖抱黄蓉逃至峰顶，发现有两个一模一样的裘千仞
16. 裘千丈被迫说出真相：自己是冒牌货，真帮主是裘千仞
17. 郭靖黄蓉误入铁掌帮禁地中指峰，帮众不敢追击
18. 郭靖在石室中发现岳飞遗书《破金要诀》
19. 铁掌帮放火烧山，郭靖黄蓉危急中唤来双雕逃生
20. 裘千丈企图抢夺雕背逃生，被雄雕啄落深谷而死

【简要事件列表】
1. 黄蓉在君山大会上夺回帮主之位，杨康裘千仞逃离
2. 郭靖黄蓉根据线索前往铁掌山寻找《武穆遗书》
3. 二人夜闯铁掌山，发现裘千仞兄弟二人真相
4. 黄蓉被裘千仞重伤，郭靖带其逃至中指峰禁地
5. 郭靖在石室中发现岳飞遗书，铁掌帮放火烧山
6. 双雕救二人脱险，裘千丈坠崖而死

【极简事件列表】
1. 黄蓉正式接任丐帮帮主
2. 郭靖黄蓉夜闯铁掌山寻《武穆遗书》
3. 发现裘千仞兄弟真相，获得岳飞遗书
