## 《红楼梦》第074回 惑奸谗抄检大观园 矢孤介杜绝宁国府

### 详细版事件列表（15条）
1. 管厨房柳家媳妇因妹妹开赌被牵连，凤姐要治其罪，柳家媳妇央求怡红院人帮忙
2. 宝玉得知迎春乳母也参与聚赌，约同迎春一起讨情，以求更妥当
3. 王住儿媳妇向平儿央求饶恕偷拿迎春累金凤典当赌博之事，承诺赎回
4. 贾琏告知凤姐借钱当之事被王夫人知晓，王夫人要二百银子做中秋节用度
5. 平儿推测消息可能是傻大姐的娘传出去的，因那日她曾见送当的箱子
6. 王夫人气愤地拿着绣春囊来找凤姐，质问此物为何出现在园内
7. 凤姐辩解此绣春囊非自己所有，分析了多种可能性，王夫人认为有理
8. 凤姐提议趁裁革赌博人员之际，安插心腹人入园查访，并裁革年纪大的丫头
9. 王夫人不同意裁革丫头，只命周瑞家的等人暗地访拿
10. 邢夫人陪房王善保家的向王夫人进谗言，诬陷晴雯妖媚不尊
11. 王夫人想起曾见园内有丫头骂小丫头，模样象林妹妹，凤姐确认是晴雯
12. 王夫人命人叫晴雯前来，同时留下袭人麝月伺候宝玉
13. 王善保家的撺掇王夫人抄检大观园，王夫人同意并命凤姐、王善保家的等人执行
14. 抄检队伍依次检查怡红院、潇湘馆、秋爽斋等，在司棋箱中搜出与表弟潘又安的私物
15. 惜春因入画私藏哥哥贾珍之物，坚决要求尤氏将入画带走，杜绝宁国府往来

### 简化版事件列表（5条）
1. 王夫人发现傻大姐拾到的绣春囊，误以为是凤姐之物，凤姐辩解澄清
2. 王善保家的向王夫人进谗言，诬陷晴雯，王夫人决定召见晴雯
3. 在王善保家的撺掇下，王夫人下令抄检大观园，凤姐带队执行
4. 抄检过程中在司棋箱中搜出与表弟私通的证据，司棋因此获罪
5. 惜春因入画私藏贾珍之物，执意要尤氏带走入画，表明与宁府划清界限

### 极简版事件列表（3条）
1. 王夫人发现绣春囊
2. 抄检大观园
3. 惜春杜绝宁国府
