# 第二十一回　护法设庄留大圣　须弥灵吉定风魔

## 详细版事件列表
1. 小妖慌慌张张回报黄风怪，称虎先锋战败被悟空打死，黄风怪闻言大怒，决定亲自出战悟空
2. 悟空在洞外叫阵多时，见黄风怪终于出洞，立刻挥舞金箍棒迎上去，二人交战三十回合不分胜负
3. 悟空见一时难以取胜，使出身外身法术，拔下一把毫毛变成数百个小行者，将黄风怪团团围住
4. 黄风怪见势不妙，张开大嘴吹出三昧神风，狂风大作，将悟空毫毛变的小行者吹散，并吹伤了悟空的眼睛
5. 悟空眼睛酸痛流泪，无法再战，与八戒退至山凹处休息，八戒小心地牵着马挑着担子，搀扶着悟空
6. 二人摸索着前行，寻得一处庄院借宿，庄院主人是一位慈眉善目的老者，见悟空受伤，连忙取出三花九子膏为其治疗眼伤
7. 老者细心地为悟空涂抹药膏，悟空顿觉清凉舒适，眼伤大为好转，心中十分感激
8. 次日清晨，悟空和八戒醒来，发现庄院竟然消失不见了，地上只留下一首颂子，原来是护法伽蓝变化来点化他们
9. 悟空眼伤已愈，精神抖擞，决定再次前往黄风洞救师父，他想出一计，变作一只小小的蚊虫，悄悄飞入黄风洞
10. 悟空飞进洞内，见唐僧被绑在定风桩上，虽然面容憔悴，但平安无事，心中稍安
11. 悟空潜伏在暗处，偷听小妖们谈话，得知只有灵吉菩萨能降伏黄风怪，这妖怪原是灵山脚下的黄毛貂鼠
12. 悟空探听清楚后，飞出洞外，与八戒商议对策，决定去请灵吉菩萨前来降妖
13. 二人正在为难不知灵吉菩萨在何处，忽见一位老者从山路走来，原来是太白金星化身来指点他们
14. 太白金星告诉悟空，灵吉菩萨住在须弥山，可前往请他来降伏黄风怪，并详细说明了路线
15. 悟空谢过太白金星，驾起筋斗云直奔须弥山而去，不多时便来到了须弥山脚下
16. 悟空上山见到灵吉菩萨，说明来意，灵吉菩萨早已知晓此事，取出飞龙宝杖和定风丹，随悟空前往黄风岭
17. 灵吉菩萨和悟空来到黄风洞前，黄风怪见了灵吉菩萨，吓得魂飞魄散，转身欲逃
18. 灵吉菩萨祭起飞龙宝杖，宝杖化作一条八爪金龙，将黄风怪牢牢抓住，动弹不得
19. 黄风怪现出原形，原来是一只黄毛貂鼠，灵吉菩萨道出其来历：本是灵山脚下偷油的老鼠，因偷吃琉璃盏内的清油，怕金刚捉拿，逃到此处作怪
20. 灵吉菩萨将黄风怪装入袋中，带回灵山发落，悟空和八戒进入洞内，救出唐僧，师徒三人重获团聚，继续西行

## 简化版事件列表
1. 黄风怪与悟空交战，吹出三昧神风伤了悟空眼睛，悟空和八戒退避山凹
2. 二人借宿得护法伽蓝化身老者，用三花九子膏治疗悟空眼伤
3. 悟空变作蚊虫飞入黄风洞，探得唐僧下落，并得知只有灵吉菩萨能降伏此怪
4. 太白金星化身老者指点悟空前往须弥山请灵吉菩萨
5. 灵吉菩萨用飞龙宝杖降伏黄风怪，师徒团聚继续西行

## 极简版事件列表
1. 悟空被黄风怪三昧神风吹伤眼睛，得护法伽蓝救治
2. 悟空请灵吉菩萨降妖，黄风怪被收服，师徒继续西行

## 绘图提示词
场景：灵吉菩萨降伏黄风怪
描述：画面中心是壮观的须弥山场景，祥云缭绕，瑞气千条。半空中灵吉菩萨身披锦绣袈裟，头戴七宝冠，面容慈祥庄严，左手持莲花，右手高举飞龙宝杖。宝杖化作一条金光闪闪的八爪金龙，龙爪正紧紧抓住一只黄毛貂鼠（黄风怪现形）。下方是黄风洞口，孙悟空手举金箍棒，表情兴奋，猪八戒扛着钉耙咧嘴而笑，唐僧则双手合十，面露感激之色。周围环境展现出狂风过后的平静，阳光透过云层洒下万道金光，照亮了整个山谷。洞口周围的树木和岩石呈现出被狂风吹袭后的痕迹，但此刻已恢复宁静。天空中有几只祥鸟飞过，地面上鲜花绽放，象征着正义战胜邪恶后的祥和景象。整体风格采用中国传统工笔画技法，色彩鲜艳而不失典雅，人物表情生动，动作有力，龙的形象威猛而神圣，展现出神话故事的奇幻色彩和英雄气概。
