## 第八十九章《夜》主要事件

### 详细版
1. 基督山回到家中练习射击，准备次日与阿尔贝的决斗。
2. 美塞苔丝蒙面深夜来访，认出基督山就是爱德蒙·唐太斯，祈求他不要杀死自己的儿子阿尔贝。
3. 基督山回忆往事，展示腾格拉尔和弗尔南多陷害他的信件，揭露马尔塞夫当年的背叛行为。
4. 美塞苔丝承认自己的软弱和过错，但恳求基督山不要迁怒于无辜的阿尔贝。
5. 基督山最初坚持要复仇，引用《圣经》中"父亲的罪将落到第三第四代儿女身上"的话。
6. 美塞苔丝以母亲的身份苦苦哀求，描述自己十年来饱受噩梦折磨的痛苦。
7. 基督山最终被美塞苔丝的哀求打动，答应饶恕阿尔贝的生命，但决定在决斗中牺牲自己。
8. 美塞苔丝感谢基督山的高尚行为，含着眼泪离开。
9. 基督山陷入痛苦的恍惚状态，为自己放弃复仇而感到深深的失落。

### 简化版
1. 美塞苔丝深夜蒙面拜访基督山，认出他就是爱德蒙·唐太斯。
2. 美塞苔丝哀求基督山不要杀死自己的儿子阿尔贝，尽管承认丈夫弗尔南多的罪行。
3. 基督山在美塞苔丝的苦苦哀求下，最终同意饶恕阿尔贝的生命。
4. 基督山决定在决斗中牺牲自己来保全阿尔贝，陷入深深的痛苦中。

### 极简版
1. 美塞苔丝深夜拜访基督山，请求饶恕阿尔贝。
2. 基督山被打动，同意饶恕阿尔贝并决定牺牲自己。
