# 第100回 径回东土　五圣成真

## 详细版事件列表
1. 八大金刚送唐僧师徒回长安
2. 太宗迎接取经归来的唐僧师徒并设宴
3. 唐僧向太宗介绍取经过程及徒弟们的来历
4. 太宗为取经成功作《圣教序》
5. 唐僧师徒在雁塔寺谈经说法
6. 八大金刚突然现身，召唤唐僧师徒回灵山
7. 唐僧师徒连白马一同平地而起，腾空而去
8. 太宗与文武百官望空下拜
9. 太宗命选高僧在雁塔寺修建水陆大会
10. 太宗命人誊录经文，传布天下
11. 八大金刚引唐僧师徒复转灵山，往返恰在八日之内
12. 八大金刚向如来缴旨，禀报已完成送经任务
13. 如来加封唐僧（金蝉子）为旃檀功德佛
14. 如来加封孙悟空为斗战胜佛
15. 如来加封猪八戒为净坛使者
16. 猪八戒不满自己未成佛，如来解释其职责的重要性
17. 如来加封沙僧为金身罗汉
18. 如来加封白马为八部天龙马
19. 揭谛引白马到化龙池，白马化龙盘绕在山门华表柱上
20. 孙悟空发现紧箍咒已自行消失
21. 五圣正果，各归本位
22. 诸佛、菩萨等众圣各归方位
23. 大众合掌皈依，念诵佛号

## 简化版事件列表
1. 唐僧师徒取经归来，受到太宗隆重迎接
2. 唐僧在雁塔寺谈经时，被八大金刚召回灵山
3. 如来论功行赏，加封唐僧为旃檀功德佛
4. 如来加封孙悟空为斗战胜佛，猪八戒为净坛使者，沙僧为金身罗汉，白马为八部天龙马
5. 五圣正果，紧箍咒消失，故事圆满结束

## 极简版事件列表
1. 唐僧师徒取经归来见太宗，后被召回灵山
2. 如来加封五圣，师徒圆满成佛

## 绘图提示词
场景：五圣封佛
画面中如来高坐莲花宝座，唐僧师徒四人及白马恭敬立在下方。唐僧身着锦斓袈裟，表情庄严；孙悟空身披锁子黄金甲，神采奕奕；猪八戒腆着大肚，表情略显不满；沙僧手持降妖宝杖，虔诚低头；白龙马已化为龙形，盘绕在柱子上。周围祥云缭绕，诸佛菩萨环绕，金光四射。整体画面神圣庄严，充满祥和之气，展现取经圆满、五圣成真的高潮场景。
