【标题】
第十四回 桃花岛主

【详细事件列表】
1. 江南六怪抵达归云庄，郭靖欣喜相迎，六怪怒气渐消
2. 陆庄主误以为六怪是敌人，后得知身份解除误会，设宴款待
3. 裘千仞大言不惭，主张助金兵南下，遭陆庄主逐客
4. 裘千仞展示内功削酒杯，韩宝驹愤怒挑战，江南六怪齐上
5. 郭靖抢先出战裘千仞，使出降龙十八掌中"亢龙有悔"击碎椅子
6. 裘千仞与郭靖对掌，被郭靖内功反震，连吃两掌飞出厅外
7. 梅超风突然出现，随行的还有神秘青袍怪人
8. 众人惊见梅超风，陆庄主确认其身份，完颜康拜见师父
9. 裘千仞谎称黄药师已死，黄蓉悲痛昏厥，众人震惊
10. 朱聪揭露裘千仞骗术，用戒指上的金刚石割酒杯，拆穿其手法
11. 黄蓉逼问裘千仞，用兰花拂穴手制住他，裘千仞承认黄药师未死
12. 裘千仞谎称在泰山顶上听洪七公说黄药师死讯，被黄蓉识破
13. 黄蓉揭露裘千仞"水上飘"轻功的骗局，梅超风将其摔入鱼缸
14. 梅超风与江南六怪旧怨重提，陆乘风劝和，提议郭靖与梅超风单打
15. 郭靖挺身而出，愿独自承受梅超风复仇，梅超风限定三招杀他
16. 黄蓉激将法，与梅超风赌斗十招，郭靖自请十五招
17. 郭靖与梅超风激战，初时处于劣势，后学聪明应对之法
18. 郭靖倚柱而斗，以降龙十八掌十五招连环使用，渐占上风
19. 梅超风被郭靖击中肩头摔倒，再扑上时插入柱中，又被击倒
20. 梅超风柱子击断厅柱，大厅倒塌，众人逃出继续激斗

【简要事件列表】
1. 江南六怪到达归云庄与郭靖相会，裘千仞主张助金遭逐
2. 郭靖力战裘千仞获胜，梅超风出现带来紧张气氛
3. 裘千仞谎称黄药师已死被揭穿，黄蓉机智拆穿其骗术
4. 梅超风与江南六怪重提旧怨，陆乘风劝和未果
5. 郭靖与梅超风单打独斗，初处劣势后渐占上风

【极简事件列表】
1. 江南六怪归云庄聚首，郭靖力挫裘千仞
2. 梅超风现身寻仇，黄蓉智破裘千仞谎言
3. 郭靖独战梅超风，以巧取胜渐占上风
