# 《三国演义》第九十二回事件列表

## 回目：赵子龙力斩五将　诸葛亮智取三城

## 详细事件列表（20条）

1. **祭奠马超**：诸葛亮率兵至沔阳，令马岱挂孝，亲自祭奠马超坟墓
2. **魏延献策**：魏延献子午谷奇计，愿得精兵五千直取长安，诸葛亮不用
3. **韩德父子**：西凉大将韩德善使开山大斧，有四子皆精通武艺，助夏侯楙拒敌
4. **赵云斩四将**：赵云在凤鸣山前独战韩家父子，斩韩瑛、韩琼、韩琪，生擒韩瑶
5. **再斩韩德**：韩德为四子报仇，被赵云三合刺死于马下
6. **夏侯楙中计**：参军程武献计伏击赵云，夏侯楙从其言，设左右两路伏兵
7. **赵云被困**：赵云追击深入重地，被董禧、薛则两路魏兵包围，从辰时杀至酉时
8. **张苞救应**：张苞奉命接应，杀透重围，斩魏将薛则，救出赵云
9. **关兴救应**：关兴亦奉命接应，斩魏将董禧，与张苞、赵云三路夹攻大破魏军
10. **围攻南安**：夏侯楙逃入南安城，赵云、关兴、张苞三面围攻，连围十日不下
11. **诸葛亮智取**：诸葛亮亲到城边查看，决定智取，不在此城久留
12. **裴绪诈降**：诸葛亮派心腹军士诈作魏将裴绪，向安定太守崔谅求救
13. **赚取安定**：崔谅中计起兵救援，魏延扮作安定军赚开城门，夺得安定
14. **崔谅投降**：崔谅逃往天水，被诸葛亮围困，不得已投降
15. **将计就计**：诸葛亮命崔谅入南安说杨陵擒夏侯楙，实则将计就计
16. **关兴斩杨陵**：关兴随崔谅入城，手起刀落斩杨陵于马下
17. **张苞杀崔谅**：张苞大喝"贼子休走"，一枪刺崔谅于马下
18. **王平擒夏侯楙**：夏侯楙开南门逃走，被王平一合生擒
19. **智取南安**：诸葛亮入南安，秋毫无犯，众将献功
20. **姜维识计**：天水太守马遵中计，姜维识破诸葛亮诈计，献策应对

## 简要事件列表（6条）

1. **赵云神威**：赵云在凤鸣山力斩韩德父子五将，威震魏军
2. **被困得救**：赵云中计被困，张苞、关兴救应脱险
3. **智取安定**：诸葛亮用计赚取安定城
4. **智取南安**：诸葛亮将计就计，关兴、张苞斩将夺城
5. **生擒夏侯楙**：王平生擒夏侯楙，诸葛亮连下二城
6. **姜维识破**：天水姜维识破诸葛亮计策

## 极简事件列表（4条）

1. **赵云斩五将**：老将赵云威震凤鸣山，力斩韩德父子
2. **智取安定**：诸葛亮用诈计轻松夺取安定城
3. **智取南安**：诸葛亮将计就计，关兴、张苞建功
4. **姜维识计**：天水姜维识破诸葛亮计谋

## 关键人物

**主要人物**：
- 赵云：蜀汉老将，力斩五将，威震魏军
- 诸葛亮：蜀汉丞相，智取三城
- 夏侯楙：魏国驸马，懦弱无谋，被擒
- 姜维：天水中郎将，识破诸葛亮计策

**蜀汉人物**：
- 魏延：建议子午谷奇计，赚取安定城
- 关兴：关羽之子，斩杨陵，救应赵云
- 张苞：张飞之子，斩崔谅、薛则，救应赵云
- 王平：牙门将，生擒夏侯楙
- 邓芝：随赵云出征，监军

**魏国人物**：
- 韩德：西凉大将，被赵云所杀
- 程武：夏侯楙参军，献伏兵之计
- 崔谅：安定太守，中计被杀
- 杨陵：南安太守，被关兴所杀
- 马遵：天水太守，中计被姜维识破

## 关键地点

**主要地点**：
- 沔阳：马超坟墓所在地，诸葛亮祭奠之处
- 凤鸣山：赵云力斩五将的战场
- 南安：夏侯楙被困之城，后被诸葛亮智取
- 安定：崔谅守城，被魏延赚取
- 天水：马遵守城，姜维识破计策

**地理特征**：
- 子午谷：魏延建议奇袭长安的路线
- 秦岭：魏延计划经过的山脉

## 关键物品

**军事物品**：
- 开山大斧：韩德的兵器
- 方天戟：韩琼的兵器
- 日月刀：韩琪的兵器
- 偃月青龙刀：关兴的兵器
- 丈八点钢矛：张苞的兵器

**文书物品**：
- 诈降文书：诸葛亮伪造的求救文书
- 密书：杨陵射给夏侯楙的密信

## 典故成语

1. **力斩五将**：赵云在凤鸣山的英勇表现
2. **将计就计**：诸葛亮对付崔谅的策略
3. **出其不意**：诸葛亮攻城的战术特点
4. **运筹帷幄**：诸葛亮的军事谋略
5. **老当益壮**：七十岁赵云的英勇表现

## 精彩对白

1. **赵云豪言**："量此乳臭小儿，何足道哉！吾今日必当擒之！"
2. **赵云感叹**："吾不服老，死于此地矣！"
3. **赵云自勉**："他两个是吾子侄辈，尚且争先干功；吾乃国家上将，朝廷旧臣，反不如此小儿耶？"
4. **姜维分析**："近闻诸葛亮杀败夏侯楙，困于南安，水泄不通，安得有人自重围之中而出？"
5. **诸葛亮解释**："此人若有真心，必然阻当；彼忻然同去者，恐吾疑也。"

## 情节特点

1. **老将神威**：赵云七十岁仍英勇无比，力斩五将
2. **智取城池**：诸葛亮不用强攻，用智谋轻松夺取城池
3. **将门虎子**：关兴、张苞继承父辈英勇，屡建奇功
4. **智斗智**：诸葛亮与姜维的智谋对决
5. **心理战术**：诸葛亮善于利用敌人心理，将计就计

## 战略意义

1. **连下三城**：诸葛亮智取南安、安定二城，威震关中
2. **军心大振**：赵云的神威表现极大鼓舞蜀军士气
3. **人才辈出**：关兴、张苞等第二代将领成长
4. **智谋对决**：与姜维的智斗为后续收服埋下伏笔
5. **战略优势**：夺取三城为北伐中原奠定基础

---

*本回通过赵子龙力斩五将的英勇表现和诸葛亮智取三城的精彩谋略，展现了蜀汉军威，同时引入了姜维这一重要人物，为后续故事发展埋下重要伏笔。*
