# 射雕英雄传 第十八章 三道试题

## 详细版（60条）

1. 郭靖发现欧阳锋手下驱蛇，与黄蓉商议应对之策
2. 黄药师与欧阳锋会面，欧阳锋为欧阳克向黄蓉求亲
3. 欧阳锋赠黄蓉"通犀地龙丸"解毒珠，以表求亲诚意
4. 黄药师与欧阳锋以玉箫铁筝合奏比试内功
5. 乐声相斗间，郭靖领悟空明拳拳理的精妙之处
6. 海上忽起啸声，黄药师与欧阳锋中断比武，疑心是洪七公到来
7. 洪七公乘船抵达桃花岛，确认郭靖安全无虞
8. 洪七公表明来意，为郭靖向黄药师求亲
9. 黄药师提议让郭靖与欧阳克比武，胜者得娶黄蓉
10. 欧阳克向郭靖挑战，郭靖以双手互搏术应对
11. 郭靖施展双手互搏，使欧阳克难以招架
12. 欧阳克败北，洪七公要求黄药师履行诺言
13. 黄药师以婚姻大事需从长计议为由拖延
14. 洪七公与欧阳锋当面比武，千余招难分高下
15. 郭靖观战中模仿学习，武功境界有所提升
16. 欧阳克暗藏毒针暗算黄蓉，被软猬甲挡回反伤自身
17. 郭靖以降龙十八掌抵挡欧阳锋蛤蟆功，救黄蓉脱险
18. 黄药师提议暂停比武，待华山论剑再决高下
19. 黄药师正式提出以三道试题决定黄蓉婚事
20. 第一道试题：洪七公试欧阳克、欧阳锋试郭靖，在松树上比试招术
21. 欧阳克施展家传武学，在松树上轻巧跳跃
22. 欧阳锋以蛤蟆功内力相逼，郭靖险象环生
23. 郭靖情急之下使用蒙古摔跤术，反败为胜
24. 黄药师判郭靖胜了第一场，欧阳锋不满
25. 第二道试题：品评乐曲节拍，黄药师吹奏玉箫考验二人
26. 欧阳克精通音律，准确跟随箫声打拍
27. 郭靖不通音律，听得头晕脑胀，求助黄蓉
28. 黄蓉以手势提示郭靖，郭靖悟出以双手互搏之术分打节拍
29. 郭靖分心二用，一边抵御箫声一边打拍，令众人惊讶
30. 黄药师评判第二场为平手，洪七公大怒质疑
31. 黄药师取出夫人手书的《九阴真经》下卷作为第三道试题
32. 黄药师要求二人阅读后背诵，背得又多又对者胜出
33. 洪七公认为此试对郭靖不公，欲带师徒离开
34. 郭靖为让师父脱身，主动要求比试背书
35. 黄蓉担心郭靖背不出，暗中筹划与他一同逃离
36. 欧阳克见真经上卷，心中狂喜，以为胜券在握
37. 郭靖发现经文中内容正是周伯通教他背诵的句子
38. 黄药师缓缓揭页，让二人阅读经文内容
39. 欧阳克见经文艰深，难以理解，只能强记部分内容
40. 黄蓉故意与欧阳克交谈，分散其注意力
41. 欧阳锋提醒侄儿专心记书，不可分心
42. 郭靖见经文内容都是周伯通所教，早已熟极而流
43. 黄药师翻到最后一段怪文，欧阳克表示无法背诵
44. 黄药师不愿二人见到梅超风所写文字，提前合上书页
45. 欧阳克抢先背书，仅背出开头几句总纲
46. 黄蓉不断打岔，欧阳克越背越乱，最终无法继续
47. 黄药师命郭靖过来背书，黄蓉跃上竹亭以死相逼
48. 欧阳锋发射暗器打掉黄蓉手中匕首，黄药师飞身相护
49. 黄药师安抚女儿，表示尊重她的意愿
50. 洪七公见黄药师被女儿缠得无奈，忍不住大笑
51. 欧阳锋催促郭靖背书，想看他出丑
52. 郭靖背诵经文，滚瓜烂熟，一字不错
53. 众人惊奇不已，洪七公和黄蓉大感疑惑
54. 黄药师对照经文，发现郭靖背诵完全正确
55. 黄药师误以为亡妻显灵，借郭靖之口传授经文
56. 黄药师询问郭靖是否看过梅超风手中的真经
57. 郭靖如实回答，未见过梅超风的真经
58. 黄药师坚信是亡妻在冥冥中选定了女婿
59. 黄药师正式宣布将黄蓉许配给郭靖
60. 郭靖跪下磕头，尊称岳父，欧阳克喝止阻止

## 简化版（10条）

1. 欧阳锋来桃花岛为侄儿欧阳克向黄蓉求亲，黄药师与欧阳锋以玉箫铁筝合奏比试内功
2. 洪七公抵达桃花岛，为郭靖向黄药师求亲，提议让郭靖与欧阳克比武
3. 郭靖以双手互搏术击败欧阳克，洪七公要求黄药师履行诺言
4. 黄药师提出以三道试题决定黄蓉婚事，第一道比试武功，郭靖以蒙古摔跤术获胜
5. 第二道比试音律，郭靖以双手互搏之术分打节拍，黄药师判为平手
6. 第三道试题是背诵《九阴真经》下卷，洪七公认为对郭靖不公欲离开
7. 郭靖主动要求比试，发现经文正是周伯通所教内容
8. 欧阳克仅背出开头几句，而郭靖背诵得滚瓜烂熟，一字不错
9. 黄蓉以死相逼不愿嫁欧阳克，黄药师安抚女儿
10. 黄药师误以为亡妻显灵选定女婿，正式将黄蓉许配给郭靖，欧阳克喝止

## 极简版（3条）

1. 欧阳锋与洪七公分别为欧阳克与郭靖向黄药师求亲，黄药师提出三道试题定胜负
2. 前两道试题郭靖一胜一平，第三道背诵《九阴真经》时，因周伯通先前传授而全部背出
3. 黄药师最终同意将黄蓉许配给郭靖，欧阳克试图阻止
