《三国演义》第五回事件列表

发矫诏诸镇应曹公　破关兵三英战吕布

【详细事件列表】20条：
1. 陈宫不忍杀曹操，半夜骑马离开投奔东郡
2. 曹操发现陈宫离开，连夜赶到陈留见父亲商议起兵
3. 曹父建议找孝廉卫弘资助，卫弘答应出家财帮助曹操
4. 曹操发矫诏召集义兵，竖起"忠义"白旗
5. 乐进、李典、夏侯惇、夏侯渊、曹仁、曹洪等人来投靠曹操
6. 袁绍得矫诏后率三万兵马与曹操会盟
7. 曹操发檄文号召各镇诸侯讨伐董卓
8. 十八路诸侯响应号召，各率兵马投洛阳而来
9. 公孙瓒路过平原县，遇见刘备、关羽、张飞
10. 公孙瓒邀请刘备三人一同讨伐董卓
11. 十八路诸侯会盟，推举袁绍为盟主
12. 袁绍筑坛盟誓，宣布讨伐董卓
13. 孙坚自请为先锋，率兵攻打汜水关
14. 华雄出战，斩杀鲍忠、胡轸，击败孙坚
15. 祖茂为救孙坚，戴红头巾引开华雄，被华雄所杀
16. 华雄连斩俞涉、潘凤两员大将
17. 关羽主动请战，温酒斩华雄
18. 张飞要乘胜追击活拿董卓，被袁术赶出帐
19. 董卓派李傕、郭汜诛杀袁隗全家，亲自率兵守虎牢关
20. 吕布战败八路诸侯，与刘备、关羽、张飞三英大战后败走

【简要事件列表】5条：
1. 曹操发矫诏召集十八路诸侯讨伐董卓，袁绍被推为盟主
2. 孙坚为先锋攻打汜水关，被华雄击败，祖茂为救孙坚战死
3. 华雄连斩多员大将，关羽温酒斩华雄扬名立威
4. 董卓诛杀袁隗全家，亲自率吕布守虎牢关
5. 吕布大战八路诸侯，与刘备三兄弟三英战吕布后败退

【极简事件列表】3条：
1. 曹操召集十八路诸侯会盟讨伐董卓，袁绍为盟主
2. 关羽温酒斩华雄立威，张飞要追击董卓被袁术阻拦
3. 吕布虎牢关大战刘备三兄弟，三英战吕布后董卓败退
