## 第八十二章《夜盗》主要事件

### 详细版
1. 基督山收到一封匿名警告信，得知当晚有人将潜入其香榭丽舍大道的住所，企图在更衣室写字台窃取文件。
2. 基督山决定独自应对，安排所有仆人前往欧特伊，只留下门房，并让阿里陪同自己秘密返回巴黎。
3. 基督山和阿里埋伏在寝室中，准备迎接夜盗的到来，发现有两个人配合行动，一人负责动手，一人在外面望风。
4. 夜盗（卡德鲁斯）通过划破玻璃窗进入更衣室，寻找写字台中的贵重物品。
5. 基督山化妆成布沙尼神甫，突然点亮蜡烛出现在卡德鲁斯面前，彻底震慑住了他。
6. 在基督山的逼问下，卡德鲁斯承认自己与安德烈（贝尼代托）一同从苦工船逃脱，并透露安德烈冒充基督山的儿子即将与腾格拉尔小姐结婚的真相。
7. 基督山强迫卡德鲁斯写下揭露安德烈真实身份的信，准备寄给腾格拉尔。
8. 基督山允许卡德鲁斯从窗口离开，卡德鲁斯在翻墙时被一直在外面望风的人（疑似安德烈派来的杀手）刺杀。
9. 卡德鲁斯受重伤后呼救，基督山和阿里及时赶到现场。

### 简化版
1. 基督山收到警告信，得知有人将夜袭其住所。
2. 基督山秘密返回巴黎，与阿里一起埋伏等待。
3. 卡德鲁斯潜入更衣室行窃时被基督山以布沙尼神甫身份识破。
4. 卡德鲁斯承认与安德烈的关系，透露安德烈的真实身份。
5. 基督山迫使卡德鲁斯写下揭露安德烈的信。
6. 卡德鲁斯离开时被望风者刺杀，受重伤呼救。

### 极简版
1. 基督山收到警告信后秘密返回住所。
2. 卡德鲁斯夜盗被基督山识破，被迫写下揭露安德烈真实身份的信。
3. 卡德鲁斯离开时被人刺杀。
