## 第138回详细版事件列表
1. 于和假意大怒欲烧死夏遂良，昆仑僧等人齐来求情
2. 昆仑僧编造谎言，众犯人口径一致，于和心生怀疑但未完全相信
3. 于和将潘秉臣送静室治疗，放夏遂良回但禁止其离开小蓬莱
4. 于和写信托丁朗请夏侯仁前来小蓬莱说清情况
5. 马凤姑、尚云凤、白一子劝阻夏侯仁未果
6. 夏侯仁随丁朗前往小蓬莱，白一子暗中跟随保护
7. 夏侯仁向于和讲述实情，与夏遂良等人当堂对质
8. 白一子在碧霞宫外与高亮基冲突，杀死高亮基后闯入殿内
9. 白一子与于和顶撞，被夏遂良、古月、昆仑僧联手擒获，肩胛骨被打断
10. 于和扣押夏侯仁和白一子，将二人关押在后山乾元洞
11. 于和决定设下埋伏，遍请各地英雄好汉来小蓬莱助阵
12. 司马行天欲杀房书安时被神秘人暗中杀死
13. 房书安与白春互相解绑，寻找救命恩人无果后继续探查
14. 二人误闯翠竹林隐逸山庄，偷看苗旺、苗灵玉姐弟练棍
15. 白春叫好暴露行踪，被苗振东一家包围
16. 白春展示神力震飞苗旺的大棍，表明身份后与苗家相认
17. 苗振东介绍家人：神杖老妪邢叶、闹海龙苗铎、东海芙蓉苗灵玉、神棒震九霄苗旺
18. 苗振东透露自己与白金堂是把兄弟，两家关系密切
19. 苗振东告知小蓬莱危险情况及夏侯仁、白一子被扣押的消息
20. 苗家宅院突然被一伙人包围，庄丁慌忙来报

## 第138回简化版事件列表
1. 于和设计调查真相，昆仑僧编造谎言动摇其判断
2. 夏侯仁应召前来对质，白一子暗中跟随误杀高亮基
3. 白一子被擒，于和扣押夏侯仁和白一子，准备迎战
4. 司马行天欲杀房书安被神秘人所杀，二人死里逃生
5. 房书安和白春误闯苗家，得知小蓬莱危险情况

## 第138回极简版事件列表
1. 于和调查真相，扣押夏侯仁和白一子
2. 房书安、白春死里逃生，误闯苗家
3. 苗振东告知小蓬莱危险，宅院突被包围

## 绘图提示词
1. 碧霞宫对质：夏侯仁站在于和面前讲述实情，夏遂良、昆仑僧等人在旁争辩，场面剑拔弩张。
2. 白一子闯宫：白一子手提佛光剑，杀死高亮基后闯入碧霞宫，面对武圣人于和毫不畏惧。
3. 高手对决：夏遂良、古月、昆仑僧三人围攻白一子，白一子虽然武功卓绝但终因寡不敌众被擒。
4. 神秘相救：司马行天举刀欲杀房书安时，突然被神秘人击中倒地，房书安和白春惊愕不已。
5. 翠竹林认亲：白春向苗振东夫妇磕头认亲，苗家人热情相迎，房书安在一旁说明情况。
