## 标题：妖邪假设小雷音　四众皆遭大厄难

### 详细版事件列表：
1. 师徒四人西行，时值春光明媚，忽见一座高山与天相接
2. 行至山顶，发现祥光笼罩的"小雷音寺"，唐僧误以为是灵山
3. 悟空识破寺院有凶气，劝唐僧不可擅入，但唐僧坚持要参拜
4. 进入寺内，见假佛祖及众阿罗汉等，唐僧、八戒、沙僧下拜，悟空未拜
5. 假佛祖喝问悟空为何不拜，悟空识破其为妖怪，抡棒便打
6. 妖怪（黄眉大王）抛出金铙，将悟空困在其中
7. 八戒、沙僧及唐僧皆被众妖捉住，绳捆索绑
8. 悟空在金铙内使尽神通无法逃出，拘来五方揭谛等神帮忙
9. 金头揭谛上天庭向玉帝求救，玉帝派二十八宿前来救助
10. 二十八宿不敢打碎金铙，亢金龙用角尖钻开缝隙
11. 悟空变小从亢金龙角尖钻出，打碎金铙，与众神逃出
12. 黄眉大王追赶，与众神交战，抛出白布搭包将众神全部收走
13. 悟空趁夜使用遁身法逃脱，救醒师父和师弟
14. 众人欲寻回行李，悟空变作蝙蝠潜入寺内寻找
15. 发现袈裟发光，悟空取衣钵时不慎惊醒妖怪
16. 妖怪率群妖追赶，与众神再次交战
17. 黄眉大王又用搭包收走众神，悟空独自逃脱
18. 悟空跳上九霄，决定前往武当山请荡魔天尊相助

### 简化版事件列表：
1. 师徒四人发现"小雷音寺"，唐僧执意进入参拜
2. 悟空识破是黄眉大王设局，被金铙困住
3. 众神前来相救，亢金龙用角尖助悟空逃出
4. 黄眉大王用搭包收走众神，悟空趁夜逃脱并救醒师父师弟
5. 悟空独自逃脱，决定去请荡魔天尊相助

### 极简版事件列表：
1. 师徒误入小雷音寺，悟空被困金铙
2. 悟空逃脱后众人再遭劫难，悟空独往请救兵

### 绘图提示词（场景：悟空被困金铙）：
在一座金碧辉煌却透着诡异气息的寺庙大殿中，一只浑身金毛的猴子被困在一个巨大的金色铙钹内，铙钹严丝合缝，猴子在里面挣扎不已。铙钹周围站着许多形态各异的妖怪，假佛祖黄眉大王坐在莲台之上，得意洋洋。殿内灯火摇曳，映照着猴子焦急的神情和金光闪闪的金箍棒。背景可见被捆绑的唐僧、八戒和沙僧。整体氛围紧张、压抑，充满了妖邪之气。
