# 救侠女白眉斗恶棍 比高低徐良伏凶僧

## 详细版事件列表
1. 徐良见王大全仗势欺人，施展轻功登上擂台干预争斗
2. 徐良与王大全交手，身形灵活闪避，王大全无法碰到他
3. 徐良抓住王大全脖子后又松开，王大全不服气想找家伙
4. 徐良出示龙边信票表明身份，王大全认出是三品带刀御前护卫后灰溜溜离开
5. 徐良随沈仲元回到家中，沈仲元热情款待并询问来意
6. 徐良讲述自己奉皇上旨意夸官后回家祭祖，假期未满准备提前返回开封
7. 一个凶僧武申来到沈宅，声称要取徐良脑袋并点住守门人
8. 武申展示武功，一掌将百斤石锁打碎，威胁徐良
9. 徐良与武申交手，使用"铁拐李倒下天梯"等多种绝技
10. 徐良连续将武申摔倒六次，武申彻底服气
11. 武申讲述自己是昆仑山卧佛寺的金背罗汉，受阎王寨天德王黄伦之托
12. 武申透露黄伦在阎王寨自立为王，悬赏三万两黄金要徐良的脑袋

## 简化版事件列表
1. 徐良施展轻功登上擂台，干预王大全与王希正的争斗
2. 徐良出示龙边信票表明身份，王大全见状灰溜溜离开
3. 徐良随沈仲元回家，讲述自己返乡祭祖后准备返回开封
4. 凶僧武申来到沈宅，声称受阎王寨黄伦之托要取徐良脑袋
5. 徐良与武申交手并将其制服，得知阎王寨悬赏捉拿自己的消息

## 极简版事件列表
1. 徐良登上擂台制服王大全，展示龙边信票吓退对方
2. 凶僧武申前来寻仇，徐良与其交手并将其制服
3. 武申透露阎王寨天德王黄伦悬赏捉拿徐良
